Framework,Condition,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
cortexode,c,204420,gm,lh,0,90,Chamfer Distance,,0.8896750626660669,
cortexode,c,204420,gm,lh,0,90,Hausdorff Distance,,4.998522185044733,
cortexode,c,204420,gm,lh,0,90,Self-Intersections (SIF),,567,211776
cortexode,c,204521,gm,lh,0,90,Chamfer Distance,,0.8969980547181955,
cortexode,c,204521,gm,lh,0,90,Hausdorff Distance,,6.499230115233657,
cortexode,c,204521,gm,lh,0,90,Self-Intersections (SIF),,722,216980
cortexode,c,201818,gm,lh,0,90,Chamfer Distance,,0.8818288852686194,
cortexode,c,201818,gm,lh,0,90,Hausdorff Distance,,5.452418585198504,
cortexode,c,201818,gm,lh,0,90,Self-Intersections (SIF),,839,222516
cortexode,c,203721,gm,lh,0,90,Chamfer Distance,,0.9424917222833777,
cortexode,c,203721,gm,lh,0,90,Hausdorff Distance,,5.659022339826369,
cortexode,c,203721,gm,lh,0,90,Self-Intersections (SIF),,890,223184
cortexode,c,200008,gm,lh,0,90,Chamfer Distance,,0.8825400046778663,
cortexode,c,200008,gm,lh,0,90,Hausdorff Distance,,7.453308044404678,
cortexode,c,200008,gm,lh,0,90,Self-Intersections (SIF),,1165,232688
cortexode,c,201414,gm,lh,0,90,Chamfer Distance,,0.939750817960482,
cortexode,c,201414,gm,lh,0,90,Hausdorff Distance,,7.982613485515228,
cortexode,c,201414,gm,lh,0,90,Self-Intersections (SIF),,834,232732
cortexode,c,203418,gm,lh,0,90,Chamfer Distance,,0.8563129467213213,
cortexode,c,203418,gm,lh,0,90,Hausdorff Distance,,3.7936711706978152,
cortexode,c,203418,gm,lh,0,90,Self-Intersections (SIF),,682,241020
cortexode,c,200614,gm,lh,0,90,Chamfer Distance,,0.9040414437274134,
cortexode,c,200614,gm,lh,0,90,Hausdorff Distance,,5.490507904979959,
cortexode,c,200614,gm,lh,0,90,Self-Intersections (SIF),,978,247072
cortexode,c,200311,gm,lh,0,90,Chamfer Distance,,0.94207001890419,
cortexode,c,200311,gm,lh,0,90,Hausdorff Distance,,5.500881208900053,
cortexode,c,200311,gm,lh,0,90,Self-Intersections (SIF),,461,249956
cortexode,c,200917,gm,lh,0,90,Chamfer Distance,,0.911314007593751,
cortexode,c,200917,gm,lh,0,90,Hausdorff Distance,,9.71478374431179,
cortexode,c,200917,gm,lh,0,90,Self-Intersections (SIF),,1055,251936
cortexode,c,200109,gm,lh,0,90,Chamfer Distance,,0.9201177764188857,
cortexode,c,200109,gm,lh,0,90,Hausdorff Distance,,6.053460037593929,
cortexode,c,200109,gm,lh,0,90,Self-Intersections (SIF),,1837,254284
cortexode,c,204016,gm,lh,0,90,Chamfer Distance,,0.8640969264544487,
cortexode,c,204016,gm,lh,0,90,Hausdorff Distance,,4.843911578009478,
cortexode,c,204016,gm,lh,0,90,Self-Intersections (SIF),,440,257928
cortexode,c,201111,gm,lh,0,90,Chamfer Distance,,0.8787341724592301,
cortexode,c,201111,gm,lh,0,90,Hausdorff Distance,,5.66120811079151,
cortexode,c,201111,gm,lh,0,90,Self-Intersections (SIF),,279,260424
cortexode,c,202719,gm,lh,0,90,Chamfer Distance,,0.863635262869874,
cortexode,c,202719,gm,lh,0,90,Hausdorff Distance,,3.57359960189901,
cortexode,c,202719,gm,lh,0,90,Self-Intersections (SIF),,395,260908
cortexode,c,203923,gm,lh,0,90,Chamfer Distance,,0.8800306861275944,
cortexode,c,203923,gm,lh,0,90,Hausdorff Distance,,4.762155649539229,
cortexode,c,203923,gm,lh,0,90,Self-Intersections (SIF),,1488,266672
cortexode,c,202113,gm,lh,0,90,Chamfer Distance,,1.0191242268906777,
cortexode,c,202113,gm,lh,0,90,Hausdorff Distance,,4.891992041289813,
cortexode,c,202113,gm,lh,0,90,Self-Intersections (SIF),,1922,264984
cortexode,c,201515,gm,lh,0,90,Chamfer Distance,,0.9860720937052385,
cortexode,c,201515,gm,lh,0,90,Hausdorff Distance,,12.022814587445833,
cortexode,c,201515,gm,lh,0,90,Self-Intersections (SIF),,767,268628
cortexode,c,204319,gm,lh,0,90,Chamfer Distance,,0.8565038016889133,
cortexode,c,204319,gm,lh,0,90,Hausdorff Distance,,5.237764198318604,
cortexode,c,204319,gm,lh,0,90,Self-Intersections (SIF),,512,276852
cortexode,c,201717,gm,lh,0,90,Chamfer Distance,,0.8662377082212076,
cortexode,c,201717,gm,lh,0,90,Hausdorff Distance,,4.5745964013032205,
cortexode,c,201717,gm,lh,0,90,Self-Intersections (SIF),,902,277080
cortexode,c,200210,gm,lh,0,90,Chamfer Distance,,0.9298058256354691,
cortexode,c,200210,gm,lh,0,90,Hausdorff Distance,,7.2011139876402686,
cortexode,c,200210,gm,lh,0,90,Self-Intersections (SIF),,809,303732
cortexode,c,204420,wm,lh,0,90,Chamfer Distance,,0.7604446182106319,
cortexode,c,204420,wm,lh,0,90,Hausdorff Distance,,3.995089051200962,
cortexode,c,204420,wm,lh,0,90,Self-Intersections (SIF),,0,211776
cortexode,c,204521,wm,lh,0,90,Chamfer Distance,,0.7759787514110148,
cortexode,c,204521,wm,lh,0,90,Hausdorff Distance,,4.220818495759418,
cortexode,c,204521,wm,lh,0,90,Self-Intersections (SIF),,2,216980
cortexode,c,201818,wm,lh,0,90,Chamfer Distance,,0.7585741686706724,
