Framework,Case,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
cortexode,,201414,gm,lh,0,90,Chamfer Distance,,5.247736332548108,
cortexode,,201414,gm,lh,0,90,Hausdorff Distance,,9.715768124368706,
cortexode,,201414,gm,lh,0,90,Self-Intersections (SIF),,834,232732
cortexode,,200614,gm,lh,0,90,Chamfer Distance,,5.421025910172766,
cortexode,,200614,gm,lh,0,90,Hausdorff Distance,,6.924228569023447,
cortexode,,200614,gm,lh,0,90,Self-Intersections (SIF),,978,247072
cortexode,,200311,gm,lh,0,90,Chamfer Distance,,5.4522370086975105,
cortexode,,200311,gm,lh,0,90,Hausdorff Distance,,7.8811500651153965,
cortexode,,200311,gm,lh,0,90,Self-Intersections (SIF),,461,249956
cortexode,,200917,gm,lh,0,90,Chamfer Distance,,4.862284907914416,
cortexode,,200917,gm,lh,0,90,Hausdorff Distance,,7.740791744963829,
cortexode,,200917,gm,lh,0,90,Self-Intersections (SIF),,1055,251936
cortexode,,201111,gm,lh,0,90,Chamfer Distance,,5.21116588179609,
cortexode,,201111,gm,lh,0,90,Hausdorff Distance,,6.57770238385133,
cortexode,,201111,gm,lh,0,90,Self-Intersections (SIF),,279,260424
cortexode,,289555,gm,lh,0,90,Chamfer Distance,,5.088795631450491,
cortexode,,289555,gm,lh,0,90,Hausdorff Distance,,7.39440357868168,
cortexode,,289555,gm,lh,0,90,Self-Intersections (SIF),,981,203360
cortexode,,297655,gm,lh,0,90,Chamfer Distance,,5.05662071398319,
cortexode,,297655,gm,lh,0,90,Hausdorff Distance,,7.077957995427764,
cortexode,,297655,gm,lh,0,90,Self-Intersections (SIF),,212,203312
cortexode,,200008,gm,lh,0,90,Chamfer Distance,,5.2657087251115495,
cortexode,,200008,gm,lh,0,90,Hausdorff Distance,,7.453308044404678,
cortexode,,200008,gm,lh,0,90,Self-Intersections (SIF),,1165,232688
cortexode,,293748,gm,lh,0,90,Chamfer Distance,,5.22108834080951,
cortexode,,293748,gm,lh,0,90,Hausdorff Distance,,7.035485852343716,
cortexode,,293748,gm,lh,0,90,Self-Intersections (SIF),,838,207060
cortexode,,205725,gm,lh,0,90,Chamfer Distance,,5.365266827489235,
cortexode,,205725,gm,lh,0,90,Hausdorff Distance,,6.104144123301341,
cortexode,,205725,gm,lh,0,90,Self-Intersections (SIF),,337,205132
