Framework,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,200311,gm,lh,4,100,Dice,0,0.0,
csrp,200311,gm,lh,4,100,Dice,1,0.0,
csrp,200311,gm,lh,4,100,Dice,2,0.46402065182316876,
csrp,200311,gm,lh,4,100,Dice,3,0.7027734793476967,
csrp,200311,gm,lh,4,100,Dice,4,0.868090245375199,
csrp,200311,gm,lh,4,100,Dice,5,0.7731651777894553,
csrp,200311,gm,lh,4,100,Dice,6,0.6342592592592593,
csrp,200311,gm,lh,4,100,Dice,7,0.516624843161857,
csrp,200311,gm,lh,4,100,Dice,8,0.5967904630903256,
csrp,200311,gm,lh,4,100,Dice,9,0.4982517482517482,
csrp,200311,gm,lh,4,100,Dice,10,0.7703240477544059,
csrp,200311,gm,lh,4,100,Dice,11,0.3573979867951077,
csrp,200311,gm,lh,4,100,Dice,12,0.4702920443101712,
csrp,200311,gm,lh,4,100,Dice,13,0.5176302640970735,
csrp,200311,gm,lh,4,100,Dice,14,0.14877430262045646,
csrp,200311,gm,lh,4,100,Dice,15,0.5537600203588243,
csrp,200311,gm,lh,4,100,Dice,16,0.787220447284345,
csrp,200311,gm,lh,4,100,Dice,17,0.8703956343792633,
csrp,200311,gm,lh,4,100,Dice,18,0.6583423814694173,
csrp,200311,gm,lh,4,100,Dice,19,0.5392207792207793,
csrp,200311,gm,lh,4,100,Dice,20,0.6254241712346645,
csrp,200311,gm,lh,4,100,Dice,21,0.7704356338717572,
csrp,200311,gm,lh,4,100,Dice,22,0.8750387596899225,
csrp,200311,gm,lh,4,100,Dice,23,0.7537297297297297,
csrp,200311,gm,lh,4,100,Dice,24,0.8755937861086147,
csrp,200311,gm,lh,4,100,Dice,25,0.8170899783421933,
csrp,200311,gm,lh,4,100,Dice,26,0.4885964912280702,
csrp,200614,gm,lh,4,100,Dice,0,0.0,
csrp,200311,gm,lh,4,100,Dice,27,0.49217002237136465,
csrp,200614,gm,lh,4,100,Dice,1,0.0,
csrp,200311,gm,lh,4,100,Dice,28,0.2306504961411246,
csrp,200614,gm,lh,4,100,Dice,2,0.5591070522577372,
csrp,200311,gm,lh,4,100,Dice,29,0.686982751952974,
csrp,200614,gm,lh,4,100,Dice,3,0.6191493493882307,
csrp,200311,gm,lh,4,100,Dice,30,0.547840349917988,
csrp,200614,gm,lh,4,100,Dice,4,0.8496849684968497,
csrp,200311,gm,lh,4,100,Dice,31,0.8140649973361748,
csrp,200614,gm,lh,4,100,Dice,5,0.7404186795491143,
csrp,200311,gm,lh,4,100,Dice,32,0.0,
csrp,200614,gm,lh,4,100,Dice,6,0.6906354515050167,
csrp,200311,gm,lh,4,100,Dice,33,0.0,
csrp,200614,gm,lh,4,100,Dice,7,0.4643953794414388,
csrp,200311,gm,lh,4,100,Dice,34,0.2996836353178027,
csrp,200614,gm,lh,4,100,Dice,8,0.5769367448471926,
csrp,200311,gm,lh,4,100,Dice,35,0.6126718469814704,
csrp,200614,gm,lh,4,100,Dice,9,0.34475806451612906,
csrp,200614,gm,lh,4,100,Dice,10,0.7836021505376344,
csrp,200614,gm,lh,4,100,Dice,11,0.3057696313268069,
csrp,200614,gm,lh,4,100,Dice,12,0.4533780011166946,
csrp,200008,gm,lh,4,100,Dice,0,0.0,
csrp,200614,gm,lh,4,100,Dice,13,0.34933774834437087,
csrp,200008,gm,lh,4,100,Dice,1,0.0,
csrp,200614,gm,lh,4,100,Dice,14,0.060876623376623376,
csrp,200008,gm,lh,4,100,Dice,2,0.5310700212185511,
csrp,200614,gm,lh,4,100,Dice,15,0.5545984291867241,
csrp,200109,gm,lh,4,100,Dice,0,0.0,
csrp,200008,gm,lh,4,100,Dice,3,0.7418494024828867,
csrp,200614,gm,lh,4,100,Dice,16,0.6286836935166994,
csrp,200109,gm,lh,4,100,Dice,1,0.0,
csrp,200008,gm,lh,4,100,Dice,4,0.9014769342976965,
csrp,200614,gm,lh,4,100,Dice,17,0.7615062761506276,
csrp,200109,gm,lh,4,100,Dice,2,0.5031228313671062,
csrp,200008,gm,lh,4,100,Dice,5,0.6584140653031934,
csrp,200109,gm,lh,4,100,Dice,3,0.7096525096525097,
csrp,200614,gm,lh,4,100,Dice,18,0.6510142749812171,
csrp,200008,gm,lh,4,100,Dice,6,0.43473124630832843,
csrp,200109,gm,lh,4,100,Dice,4,0.8700752263164605,
csrp,200614,gm,lh,4,100,Dice,19,0.5607544432354008,
csrp,200008,gm,lh,4,100,Dice,7,0.601094429633787,
csrp,200109,gm,lh,4,100,Dice,5,0.7571141132509341,
csrp,200614,gm,lh,4,100,Dice,20,0.49089935760171305,
csrp,200008,gm,lh,4,100,Dice,8,0.5913945049248315,
csrp,200109,gm,lh,4,100,Dice,6,0.6996238581407845,
csrp,200614,gm,lh,4,100,Dice,21,0.7251196775006299,
csrp,200008,gm,lh,4,100,Dice,9,0.41197237145049886,
csrp,200109,gm,lh,4,100,Dice,7,0.39629570493373784,
csrp,200614,gm,lh,4,100,Dice,22,0.6801626591230552,
csrp,200109,gm,lh,4,100,Dice,8,0.5834020788648738,
csrp,200008,gm,lh,4,100,Dice,10,0.8744292237442922,
csrp,200614,gm,lh,4,100,Dice,23,0.697790585975024,
csrp,200109,gm,lh,4,100,Dice,9,0.47523510971786836,
csrp,200008,gm,lh,4,100,Dice,11,0.4434527049091107,
csrp,200614,gm,lh,4,100,Dice,24,0.8092848939128332,
csrp,200109,gm,lh,4,100,Dice,10,0.7807389460932768,
csrp,200008,gm,lh,4,100,Dice,12,0.5226960110041265,
csrp,200614,gm,lh,4,100,Dice,25,0.8782139262512582,
csrp,200109,gm,lh,4,100,Dice,11,0.33494656180681587,
csrp,200008,gm,lh,4,100,Dice,13,0.48301757979177334,
csrp,200614,gm,lh,4,100,Dice,26,0.6153002467781739,
csrp,200109,gm,lh,4,100,Dice,12,0.5033499398728741,
csrp,200008,gm,lh,4,100,Dice,14,0.14503415659485025,
csrp,200614,gm,lh,4,100,Dice,27,0.4659647404505387,
csrp,200109,gm,lh,4,100,Dice,13,0.4223910171730515,
csrp,200008,gm,lh,4,100,Dice,15,0.5265116279069767,
csrp,200614,gm,lh,4,100,Dice,28,0.2556655665566557,
csrp,200109,gm,lh,4,100,Dice,14,0.07474226804123711,
csrp,200008,gm,lh,4,100,Dice,16,0.7147727272727272,
csrp,200614,gm,lh,4,100,Dice,29,0.8137630531139659,
csrp,200109,gm,lh,4,100,Dice,15,0.7026455026455026,
csrp,200008,gm,lh,4,100,Dice,17,0.7716697549927939,
csrp,200614,gm,lh,4,100,Dice,30,0.6209904588823262,
csrp,200109,gm,lh,4,100,Dice,16,0.7327586206896551,
csrp,200008,gm,lh,4,100,Dice,18,0.7800575263662513,
csrp,200614,gm,lh,4,100,Dice,31,0.4670226583922644,
csrp,200109,gm,lh,4,100,Dice,17,0.7788111605337646,
csrp,200614,gm,lh,4,100,Dice,32,0.0,
csrp,200008,gm,lh,4,100,Dice,19,0.6486296556570625,
csrp,200109,gm,lh,4,100,Dice,18,0.7511604439959637,
csrp,200614,gm,lh,4,100,Dice,33,0.0,
csrp,200109,gm,lh,4,100,Dice,19,0.4921928038017651,
csrp,200008,gm,lh,4,100,Dice,20,0.6287644244300591,
csrp,200614,gm,lh,4,100,Dice,34,0.4906024096385542,
csrp,200109,gm,lh,4,100,Dice,20,0.5618789521228545,
csrp,200008,gm,lh,4,100,Dice,21,0.7137145141943223,
csrp,200614,gm,lh,4,100,Dice,35,0.5366302237662205,
csrp,200109,gm,lh,4,100,Dice,21,0.8318833764401599,
csrp,200008,gm,lh,4,100,Dice,22,0.4466151749204907,
csrp,200109,gm,lh,4,100,Dice,22,0.5186186810900769,
csrp,200008,gm,lh,4,100,Dice,23,0.7902552204176334,
csrp,200109,gm,lh,4,100,Dice,23,0.6992221261884183,
csrp,200008,gm,lh,4,100,Dice,24,0.7507418397626113,
csrp,200109,gm,lh,4,100,Dice,24,0.7641267378721881,
csrp,200008,gm,lh,4,100,Dice,25,0.8384963452836756,
csrp,200109,gm,lh,4,100,Dice,25,0.8315149347165087,
csrp,200008,gm,lh,4,100,Dice,26,0.5750595710881652,
csrp,200109,gm,lh,4,100,Dice,26,0.5538039753255655,
csrp,200008,gm,lh,4,100,Dice,27,0.5294355381921056,
csrp,200109,gm,lh,4,100,Dice,27,0.5818140640924018,
csrp,200008,gm,lh,4,100,Dice,28,0.2976536312849162,
csrp,200109,gm,lh,4,100,Dice,28,0.3822600399664797,
csrp,200008,gm,lh,4,100,Dice,29,0.7710321755387188,
csrp,200109,gm,lh,4,100,Dice,29,0.8275720446300225,
csrp,200008,gm,lh,4,100,Dice,30,0.5595143312101911,
csrp,200109,gm,lh,4,100,Dice,30,0.6155307938153235,
csrp,200008,gm,lh,4,100,Dice,31,0.6363548976256849,
csrp,200109,gm,lh,4,100,Dice,31,0.7068138730902197,
csrp,200008,gm,lh,4,100,Dice,32,0.0,
csrp,200109,gm,lh,4,100,Dice,32,0.0,
csrp,200008,gm,lh,4,100,Dice,33,0.0,
csrp,200109,gm,lh,4,100,Dice,33,0.0,
csrp,200008,gm,lh,4,100,Dice,34,0.4658257553534761,
csrp,200109,gm,lh,4,100,Dice,34,0.43586995355484104,
csrp,200008,gm,lh,4,100,Dice,35,0.6169946536230235,
csrp,200109,gm,lh,4,100,Dice,35,0.5695621108502603,
csrp,200210,gm,lh,4,100,Dice,0,0.0,
csrp,200210,gm,lh,4,100,Dice,1,0.0,
csrp,200210,gm,lh,4,100,Dice,2,0.47915124599062425,
csrp,200210,gm,lh,4,100,Dice,3,0.6730879111909231,
csrp,200210,gm,lh,4,100,Dice,4,0.8339162692103869,
csrp,200210,gm,lh,4,100,Dice,5,0.739861781197027,
csrp,200210,gm,lh,4,100,Dice,6,0.6422510049129075,
csrp,200210,gm,lh,4,100,Dice,7,0.3932907748153711,
csrp,200210,gm,lh,4,100,Dice,8,0.6270822536462575,
csrp,200210,gm,lh,4,100,Dice,9,0.18025527481114872,
csrp,200210,gm,lh,4,100,Dice,10,0.7343671835917959,
csrp,200210,gm,lh,4,100,Dice,11,0.3369426208542928,
csrp,200210,gm,lh,4,100,Dice,12,0.41674113792076256,
csrp,200210,gm,lh,4,100,Dice,13,0.2898062342038753,
csrp,200210,gm,lh,4,100,Dice,14,0.09869375907111756,
csrp,200210,gm,lh,4,100,Dice,15,0.5152400835073069,
csrp,200210,gm,lh,4,100,Dice,16,0.7142102482831485,
csrp,200210,gm,lh,4,100,Dice,17,0.7009458297506449,
csrp,200210,gm,lh,4,100,Dice,18,0.7237479806138933,
csrp,200210,gm,lh,4,100,Dice,19,0.583404619332763,
csrp,200210,gm,lh,4,100,Dice,20,0.5232067510548524,
csrp,200210,gm,lh,4,100,Dice,21,0.7075380759591285,
csrp,200210,gm,lh,4,100,Dice,22,0.7732498908455829,
csrp,200210,gm,lh,4,100,Dice,23,0.6698427822772749,
csrp,200210,gm,lh,4,100,Dice,24,0.859733635590819,
csrp,200210,gm,lh,4,100,Dice,25,0.8560087599233507,
csrp,200210,gm,lh,4,100,Dice,26,0.5410404624277456,
csrp,200210,gm,lh,4,100,Dice,27,0.508774834437086,
csrp,200210,gm,lh,4,100,Dice,28,0.13958411156767525,
csrp,200210,gm,lh,4,100,Dice,29,0.8323308270676691,
csrp,200210,gm,lh,4,100,Dice,30,0.6887925520574231,
csrp,200210,gm,lh,4,100,Dice,31,0.6610987379361544,
csrp,200210,gm,lh,4,100,Dice,32,0.0,
csrp,200210,gm,lh,4,100,Dice,33,0.0,
csrp,200210,gm,lh,4,100,Dice,34,0.4601706970128023,
csrp,200210,gm,lh,4,100,Dice,35,0.7311986517800716,
csrp,200311,gm,lh,8,50,Dice,0,0.0,
csrp,200311,gm,lh,8,50,Dice,1,0.0,
csrp,200311,gm,lh,8,50,Dice,2,0.6534974093264249,
