Framework,Condition,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,a,200008,gm,lh,8,40,Chamfer Distance,,0.9080534869582582,
csrp,a,200008,gm,lh,8,40,Hausdorff Distance,,6.898012495718654,
csrp,a,200008,gm,lh,8,40,Self-Intersections (SIF),,14504,232676
csrp,a,200008,gm,lh,8,40,Macro Dice,,0.8493629433989426,
csrp,a,200109,gm,lh,8,40,Chamfer Distance,,0.9342776093965948,
csrp,a,200109,gm,lh,8,40,Hausdorff Distance,,6.173871137205753,
csrp,a,200109,gm,lh,8,40,Self-Intersections (SIF),,14500,254276
csrp,a,200109,gm,lh,8,40,Macro Dice,,0.8823783372783995,
csrp,a,200210,gm,lh,8,40,Chamfer Distance,,0.9560713202607521,
csrp,a,200210,gm,lh,8,40,Hausdorff Distance,,7.540329167375461,
csrp,a,200210,gm,lh,8,40,Self-Intersections (SIF),,12258,303752
csrp,a,200210,gm,lh,8,40,Macro Dice,,0.874022202676443,
csrp,a,200614,gm,lh,8,40,Chamfer Distance,,0.9271106860497564,
csrp,a,200614,gm,lh,8,40,Hausdorff Distance,,5.523791328107158,
csrp,a,200614,gm,lh,8,40,Self-Intersections (SIF),,13124,247020
csrp,a,200614,gm,lh,8,40,Macro Dice,,0.8667490190431504,
csrp,a,200311,gm,lh,8,40,Chamfer Distance,,0.9695301144728348,
csrp,a,200311,gm,lh,8,40,Hausdorff Distance,,5.511193132986563,
csrp,a,200311,gm,lh,8,40,Self-Intersections (SIF),,8860,249976
csrp,a,200311,gm,lh,8,40,Macro Dice,,0.8926062027021008,
csrp,a,200917,gm,lh,8,40,Chamfer Distance,,0.9426838133505961,
csrp,a,200917,gm,lh,8,40,Hausdorff Distance,,9.774969109901837,
csrp,a,200917,gm,lh,8,40,Self-Intersections (SIF),,9552,251884
csrp,a,200917,gm,lh,8,40,Macro Dice,,0.8417031466723052,
csrp,a,200008,wm,lh,8,100,Chamfer Distance,,0.7507269513312462,
csrp,a,200008,wm,lh,8,100,Hausdorff Distance,,6.252168854460952,
csrp,a,200008,wm,lh,8,100,Self-Intersections (SIF),,34,232676
csrp,a,200008,wm,lh,8,100,Macro Dice,,0.911619060515624,
csrp,a,201414,gm,lh,8,40,Chamfer Distance,,0.9781541670402674,
csrp,a,201414,gm,lh,8,40,Hausdorff Distance,,8.224367263858541,
csrp,a,201414,gm,lh,8,40,Self-Intersections (SIF),,7538,232676
csrp,a,201414,gm,lh,8,40,Macro Dice,,0.8743621816359719,
csrp,a,200109,wm,lh,8,100,Chamfer Distance,,0.7551076366138123,
csrp,a,200109,wm,lh,8,100,Hausdorff Distance,,4.935531478064818,
csrp,a,200109,wm,lh,8,100,Self-Intersections (SIF),,0,254276
csrp,a,200109,wm,lh,8,100,Macro Dice,,0.9336045601066555,
csrp,a,201111,gm,lh,8,40,Chamfer Distance,,0.9133132867012306,
csrp,a,201111,gm,lh,8,40,Hausdorff Distance,,5.550325845123769,
csrp,a,201111,gm,lh,8,40,Self-Intersections (SIF),,6942,260396
csrp,a,201111,gm,lh,8,40,Macro Dice,,0.8611731767015605,
csrp,a,201515,gm,lh,8,40,Chamfer Distance,,0.989444678636372,
csrp,a,201515,gm,lh,8,40,Hausdorff Distance,,11.993772679525506,
csrp,a,201515,gm,lh,8,40,Self-Intersections (SIF),,12985,268656
csrp,a,201515,gm,lh,8,40,Macro Dice,,0.8509871284486195,
csrp,a,200614,wm,lh,8,100,Chamfer Distance,,0.759231872076818,
csrp,a,200614,wm,lh,8,100,Hausdorff Distance,,5.332590537928465,
csrp,a,200614,wm,lh,8,100,Self-Intersections (SIF),,26,247020
csrp,a,200614,wm,lh,8,100,Macro Dice,,0.9146631747373851,
csrp,a,200311,wm,lh,8,100,Chamfer Distance,,0.7742708516190238,
csrp,a,200311,wm,lh,8,100,Hausdorff Distance,,5.005400652012576,
csrp,a,200311,wm,lh,8,100,Self-Intersections (SIF),,0,249976
csrp,a,200311,wm,lh,8,100,Macro Dice,,0.9309512253271742,
csrp,a,200210,wm,lh,8,100,Chamfer Distance,,0.7783605169121496,
csrp,a,200210,wm,lh,8,100,Hausdorff Distance,,7.36381475807277,
csrp,a,200210,wm,lh,8,100,Self-Intersections (SIF),,61,303752
csrp,a,200210,wm,lh,8,100,Macro Dice,,0.9204227958903954,
csrp,a,201818,gm,lh,8,40,Chamfer Distance,,0.9164208638846306,
csrp,a,201818,gm,lh,8,40,Hausdorff Distance,,4.352910404209512,
csrp,a,201818,gm,lh,8,40,Self-Intersections (SIF),,10139,222536
csrp,a,201818,gm,lh,8,40,Macro Dice,,0.8630946648602325,
csrp,a,200917,wm,lh,8,100,Chamfer Distance,,0.802646288202524,
csrp,a,200917,wm,lh,8,100,Hausdorff Distance,,8.082151260148212,
csrp,a,200917,wm,lh,8,100,Self-Intersections (SIF),,73,251884
csrp,a,200917,wm,lh,8,100,Macro Dice,,0.9063629504577854,
csrp,a,201717,gm,lh,8,40,Chamfer Distance,,0.8921777742147081,
csrp,a,201717,gm,lh,8,40,Hausdorff Distance,,5.684601486951604,
csrp,a,201717,gm,lh,8,40,Self-Intersections (SIF),,12155,277072
csrp,a,201717,gm,lh,8,40,Macro Dice,,0.8603884068990798,
csrp,a,202113,gm,lh,8,40,Chamfer Distance,,1.0152722153236713,
csrp,a,202113,gm,lh,8,40,Hausdorff Distance,,4.911812405718353,
csrp,a,202113,gm,lh,8,40,Self-Intersections (SIF),,11355,264968
csrp,a,202113,gm,lh,8,40,Macro Dice,,0.8956411481323789,
csrp,a,204420,gm,lh,8,40,Chamfer Distance,,0.9066132938394793,
csrp,a,204420,gm,lh,8,40,Hausdorff Distance,,4.82554533397825,
csrp,a,204420,gm,lh,8,40,Self-Intersections (SIF),,7951,211768
csrp,a,204420,gm,lh,8,40,Macro Dice,,0.8549553077095862,
csrp,a,204521,gm,lh,8,40,Chamfer Distance,,0.9248781080196924,
csrp,a,204521,gm,lh,8,40,Hausdorff Distance,,6.8665904585067645,
csrp,a,204521,gm,lh,8,40,Self-Intersections (SIF),,10880,216952
csrp,a,204521,gm,lh,8,40,Macro Dice,,0.8800782410402658,
csrp,a,201414,wm,lh,8,100,Chamfer Distance,,0.7847367165533594,
csrp,a,201414,wm,lh,8,100,Hausdorff Distance,,6.407570008255707,
csrp,a,201414,wm,lh,8,100,Self-Intersections (SIF),,0,232676
csrp,a,201414,wm,lh,8,100,Macro Dice,,0.913747411881337,
csrp,a,200008,gm,rh,8,40,Chamfer Distance,,0.8897738400525138,
csrp,a,200008,gm,rh,8,40,Hausdorff Distance,,6.31510816357945,
csrp,a,200008,gm,rh,8,40,Self-Intersections (SIF),,14806,234400
csrp,a,200008,gm,rh,8,40,Macro Dice,,0.8642054680884612,
csrp,a,203721,gm,lh,8,40,Chamfer Distance,,0.9666569768930154,
csrp,a,203721,gm,lh,8,40,Hausdorff Distance,,6.31522429134079,
csrp,a,203721,gm,lh,8,40,Self-Intersections (SIF),,13150,223172
csrp,a,203721,gm,lh,8,40,Macro Dice,,0.849257460962428,
csrp,a,203418,gm,lh,8,40,Chamfer Distance,,0.8889353039974648,
csrp,a,203418,gm,lh,8,40,Hausdorff Distance,,4.305555368335217,
csrp,a,203418,gm,lh,8,40,Self-Intersections (SIF),,8294,241000
csrp,a,203418,gm,lh,8,40,Macro Dice,,0.8537020477951675,
csrp,a,201111,wm,lh,8,100,Chamfer Distance,,0.7545131597024678,
