Framework,Condition,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,b,200008,gm,lh,8,90,Chamfer Distance,,1.0229980299634651,
csrp,b,200008,gm,lh,8,90,Hausdorff Distance,,7.320683038024615,
csrp,b,200008,gm,lh,8,90,Self-Intersections (SIF),,5287,232676
csrp,b,200008,gm,lh,8,90,Macro Dice,,0.8494705065880238,
csrp,b,200109,gm,lh,8,90,Chamfer Distance,,1.0154997875897807,
csrp,b,200109,gm,lh,8,90,Hausdorff Distance,,6.243226313355121,
csrp,b,200109,gm,lh,8,90,Self-Intersections (SIF),,6002,254276
csrp,b,200109,gm,lh,8,90,Macro Dice,,0.8803875118536949,
csrp,b,200614,gm,lh,8,90,Chamfer Distance,,1.0269554090046653,
csrp,b,200614,gm,lh,8,90,Hausdorff Distance,,5.20849206089495,
csrp,b,200614,gm,lh,8,90,Self-Intersections (SIF),,4695,247020
csrp,b,200614,gm,lh,8,90,Macro Dice,,0.8510938851350918,
csrp,b,200311,gm,lh,8,90,Chamfer Distance,,1.0483713734093367,
csrp,b,200311,gm,lh,8,90,Hausdorff Distance,,5.384277570958244,
csrp,b,200311,gm,lh,8,90,Self-Intersections (SIF),,2211,249976
csrp,b,200311,gm,lh,8,90,Macro Dice,,0.8867546424442777,
csrp,b,200917,gm,lh,8,90,Chamfer Distance,,1.0723699750063993,
csrp,b,200917,gm,lh,8,90,Hausdorff Distance,,9.81087548503761,
csrp,b,200917,gm,lh,8,90,Self-Intersections (SIF),,4888,251884
csrp,b,200917,gm,lh,8,90,Macro Dice,,0.8400917552671568,
csrp,b,201414,gm,lh,8,90,Chamfer Distance,,1.071265094036679,
csrp,b,201414,gm,lh,8,90,Hausdorff Distance,,8.207879119889306,
csrp,b,201414,gm,lh,8,90,Self-Intersections (SIF),,3018,232676
csrp,b,201414,gm,lh,8,90,Macro Dice,,0.8702383525410667,
csrp,b,200210,gm,lh,8,90,Chamfer Distance,,1.0751511155753228,
csrp,b,200210,gm,lh,8,90,Hausdorff Distance,,6.830390082979396,
csrp,b,200210,gm,lh,8,90,Self-Intersections (SIF),,3730,303752
csrp,b,200210,gm,lh,8,90,Macro Dice,,0.8728323869216223,
csrp,b,201111,gm,lh,8,90,Chamfer Distance,,1.0740934628569843,
csrp,b,201111,gm,lh,8,90,Hausdorff Distance,,5.404479080994436,
csrp,b,201111,gm,lh,8,90,Self-Intersections (SIF),,1711,260396
csrp,b,201111,gm,lh,8,90,Macro Dice,,0.8411226923987128,
csrp,b,200008,wm,lh,8,90,Chamfer Distance,,0.9281857840578549,
csrp,b,200008,wm,lh,8,90,Hausdorff Distance,,6.394136816255249,
