Framework,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,201818,gm,lh,8,90,Chamfer Distance,,1.0461719291537666,
csrp,201818,gm,lh,8,90,Hausdorff Distance,,5.196242604465993,
csrp,201818,gm,lh,8,90,Self-Intersections (SIF),,3566,222536
csrp,201818,gm,lh,8,90,Macro Dice,,0.6530893166405152,
csrp,201414,gm,lh,8,90,Chamfer Distance,,1.0712650781538535,
csrp,201414,gm,lh,8,90,Hausdorff Distance,,8.207883982256437,
csrp,201414,gm,lh,8,90,Self-Intersections (SIF),,3021,232676
csrp,201414,gm,lh,8,90,Macro Dice,,0.6740533251210203,
csrp,200008,gm,lh,8,90,Chamfer Distance,,1.0229980151465459,
csrp,200008,gm,lh,8,90,Hausdorff Distance,,7.320681596209333,
csrp,200008,gm,lh,8,90,Self-Intersections (SIF),,5287,232676
csrp,200008,gm,lh,8,90,Macro Dice,,0.6362216258423552,
csrp,203418,gm,lh,8,90,Chamfer Distance,,1.0339245131190058,
csrp,203418,gm,lh,8,90,Hausdorff Distance,,4.325173055849771,
csrp,203418,gm,lh,8,90,Self-Intersections (SIF),,2814,241000
csrp,203418,gm,lh,8,90,Macro Dice,,0.649756162019694,
csrp,200917,gm,lh,8,90,Chamfer Distance,,1.0723699862669323,
csrp,200917,gm,lh,8,90,Hausdorff Distance,,9.810875578743497,
csrp,200917,gm,lh,8,90,Self-Intersections (SIF),,4888,251884
csrp,200917,gm,lh,8,90,Macro Dice,,0.6337608465219524,
csrp,200614,gm,lh,8,90,Chamfer Distance,,1.0269554233072073,
csrp,200614,gm,lh,8,90,Hausdorff Distance,,5.208491600758446,
csrp,200614,gm,lh,8,90,Self-Intersections (SIF),,4695,247020
csrp,200614,gm,lh,8,90,Macro Dice,,0.6391210369100848,
csrp,200311,gm,lh,8,90,Chamfer Distance,,1.0483713990046428,
csrp,200311,gm,lh,8,90,Hausdorff Distance,,5.384279433359753,
csrp,200311,gm,lh,8,90,Self-Intersections (SIF),,2211,249976
csrp,200311,gm,lh,8,90,Macro Dice,,0.6938635165208438,
csrp,201111,gm,lh,8,90,Chamfer Distance,,1.0740934670916968,
csrp,201111,gm,lh,8,90,Hausdorff Distance,,5.404484371426467,
csrp,201111,gm,lh,8,90,Self-Intersections (SIF),,1711,260396
csrp,201111,gm,lh,8,90,Macro Dice,,0.6471627187701491,
csrp,202719,gm,lh,8,90,Chamfer Distance,,1.0385848204228414,
csrp,202719,gm,lh,8,90,Hausdorff Distance,,3.2751132020855316,
csrp,202719,gm,lh,8,90,Self-Intersections (SIF),,2835,260952
csrp,202719,gm,lh,8,90,Macro Dice,,0.6868749578574702,
csrp,200109,gm,lh,8,90,Chamfer Distance,,1.0154997920663023,
csrp,200109,gm,lh,8,90,Hausdorff Distance,,6.243225590204951,
csrp,200109,gm,lh,8,90,Self-Intersections (SIF),,6000,254276
csrp,200109,gm,lh,8,90,Macro Dice,,0.6718539710282831,
csrp,201515,gm,lh,8,90,Chamfer Distance,,1.0755896035184476,
csrp,201515,gm,lh,8,90,Hausdorff Distance,,11.62594583275933,
csrp,201515,gm,lh,8,90,Self-Intersections (SIF),,4107,268656
csrp,201515,gm,lh,8,90,Macro Dice,,0.6421796963089929,
csrp,202113,gm,lh,8,90,Chamfer Distance,,1.0439869076660104,
csrp,202113,gm,lh,8,90,Hausdorff Distance,,4.937983112485283,
csrp,202113,gm,lh,8,90,Self-Intersections (SIF),,4775,264968
csrp,202113,gm,lh,8,90,Macro Dice,,0.6813701865335897,
csrp,201717,gm,lh,8,90,Chamfer Distance,,1.0512012224011607,
csrp,201717,gm,lh,8,90,Hausdorff Distance,,5.533131158602452,
csrp,201717,gm,lh,8,90,Self-Intersections (SIF),,2563,277072
csrp,201717,gm,lh,8,90,Macro Dice,,0.6376828407299701,
csrp,200210,gm,lh,8,90,Chamfer Distance,,1.075151101909461,
csrp,200210,gm,lh,8,90,Hausdorff Distance,,6.830387084484331,
csrp,200210,gm,lh,8,90,Self-Intersections (SIF),,3731,303752
csrp,200210,gm,lh,8,90,Macro Dice,,0.6549446116169613,
csrp,201818,wm,lh,8,90,Chamfer Distance,,0.9165137602048503,
csrp,201818,wm,lh,8,90,Hausdorff Distance,,4.166026083029979,
csrp,201818,wm,lh,8,90,Self-Intersections (SIF),,0,222536
csrp,201818,wm,lh,8,90,Macro Dice,,0.7604413723299454,
csrp,200008,wm,lh,8,90,Chamfer Distance,,0.9281857952142953,
csrp,200008,wm,lh,8,90,Hausdorff Distance,,6.394137628987534,
csrp,200008,wm,lh,8,90,Self-Intersections (SIF),,5,232676
csrp,200008,wm,lh,8,90,Macro Dice,,0.7502915350971796,
csrp,201414,wm,lh,8,90,Chamfer Distance,,0.9431278431804224,
csrp,201414,wm,lh,8,90,Hausdorff Distance,,6.320386232321745,
csrp,201414,wm,lh,8,90,Self-Intersections (SIF),,2,232676
csrp,201414,wm,lh,8,90,Macro Dice,,0.7597559170532194,
csrp,203418,wm,lh,8,90,Chamfer Distance,,0.897353497590847,
csrp,203418,wm,lh,8,90,Hausdorff Distance,,4.403037925873106,
csrp,203418,wm,lh,8,90,Self-Intersections (SIF),,11,241000
