Framework,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,201414,gm,lh,4,100,Chamfer Distance,,5.247705693124114,
csrp,201414,gm,lh,4,100,Hausdorff Distance,,9.441643224150145,
csrp,201414,gm,lh,4,100,Self-Intersections (SIF),,6143,232732
csrp,200614,gm,lh,4,100,Chamfer Distance,,5.412888757783985,
csrp,200614,gm,lh,4,100,Hausdorff Distance,,7.043810636583546,
csrp,200614,gm,lh,4,100,Self-Intersections (SIF),,10616,247072
csrp,200311,gm,lh,4,100,Chamfer Distance,,5.461141497384386,
csrp,200311,gm,lh,4,100,Hausdorff Distance,,8.288199272078137,
csrp,200311,gm,lh,4,100,Self-Intersections (SIF),,6499,249956
csrp,200917,gm,lh,4,100,Chamfer Distance,,4.84042029779242,
csrp,200917,gm,lh,4,100,Hausdorff Distance,,7.0550028540532566,
csrp,200917,gm,lh,4,100,Self-Intersections (SIF),,7148,251936
csrp,297655,gm,lh,4,100,Chamfer Distance,,5.061372494953853,
csrp,297655,gm,lh,4,100,Hausdorff Distance,,7.739180219319633,
csrp,297655,gm,lh,4,100,Self-Intersections (SIF),,3728,203312
csrp,289555,gm,lh,4,100,Chamfer Distance,,5.0650735710283765,
csrp,289555,gm,lh,4,100,Hausdorff Distance,,7.250712930037421,
csrp,289555,gm,lh,4,100,Self-Intersections (SIF),,6576,203360
csrp,293748,gm,lh,4,100,Chamfer Distance,,5.205935992905716,
csrp,293748,gm,lh,4,100,Hausdorff Distance,,7.095406428177057,
csrp,293748,gm,lh,4,100,Self-Intersections (SIF),,5022,207060
csrp,201111,gm,lh,4,100,Chamfer Distance,,5.171377434622717,
csrp,201111,gm,lh,4,100,Hausdorff Distance,,6.800215122204484,
csrp,201111,gm,lh,4,100,Self-Intersections (SIF),,5311,260424
csrp,200008,gm,lh,4,100,Chamfer Distance,,5.232368302367474,
csrp,200008,gm,lh,4,100,Hausdorff Distance,,7.432584321800597,
csrp,200008,gm,lh,4,100,Self-Intersections (SIF),,12010,232688
csrp,205725,gm,lh,4,100,Chamfer Distance,,5.369085443901554,
csrp,205725,gm,lh,4,100,Hausdorff Distance,,6.531625865612416,
csrp,205725,gm,lh,4,100,Self-Intersections (SIF),,6785,205132
csrp,224022,gm,lh,4,100,Chamfer Distance,,5.033339197710225,
csrp,224022,gm,lh,4,100,Hausdorff Distance,,7.217339952842686,
csrp,224022,gm,lh,4,100,Self-Intersections (SIF),,6965,209784
csrp,204420,gm,lh,4,100,Chamfer Distance,,5.1130481420191725,
csrp,204420,gm,lh,4,100,Hausdorff Distance,,6.92273934425541,
csrp,204420,gm,lh,4,100,Self-Intersections (SIF),,5690,211776
csrp,255639,gm,lh,4,100,Chamfer Distance,,5.420602654249654,
csrp,255639,gm,lh,4,100,Hausdorff Distance,,8.644483438318993,
csrp,255639,gm,lh,4,100,Self-Intersections (SIF),,4750,218816
csrp,280739,gm,lh,4,100,Chamfer Distance,,4.982199967726871,
csrp,280739,gm,lh,4,100,Hausdorff Distance,,6.415426293120828,
csrp,280739,gm,lh,4,100,Self-Intersections (SIF),,5630,225600
csrp,208024,gm,lh,4,100,Chamfer Distance,,5.415961954330225,
csrp,208024,gm,lh,4,100,Hausdorff Distance,,6.6736925800232605,
csrp,208024,gm,lh,4,100,Self-Intersections (SIF),,10545,214924
csrp,295146,gm,lh,4,100,Chamfer Distance,,5.16128473165822,
csrp,295146,gm,lh,4,100,Hausdorff Distance,,6.7105099675709,
csrp,295146,gm,lh,4,100,Self-Intersections (SIF),,6806,231716
csrp,204521,gm,lh,4,100,Chamfer Distance,,5.049599858543421,
csrp,204521,gm,lh,4,100,Hausdorff Distance,,7.362732693368506,
csrp,204521,gm,lh,4,100,Self-Intersections (SIF),,8778,216980
csrp,285345,gm,lh,4,100,Chamfer Distance,,5.186810539403293,
csrp,285345,gm,lh,4,100,Hausdorff Distance,,6.516579921903949,
csrp,285345,gm,lh,4,100,Self-Intersections (SIF),,6243,230452
csrp,275645,gm,lh,4,100,Chamfer Distance,,5.389322223410808,
csrp,275645,gm,lh,4,100,Hausdorff Distance,,7.738930027794985,
csrp,275645,gm,lh,4,100,Self-Intersections (SIF),,8732,232608
csrp,228434,gm,lh,4,100,Chamfer Distance,,5.347240114954037,
csrp,228434,gm,lh,4,100,Hausdorff Distance,,6.7180806191257725,
csrp,228434,gm,lh,4,100,Self-Intersections (SIF),,4057,223760
csrp,200109,gm,lh,4,100,Chamfer Distance,,5.20376542261349,
csrp,200109,gm,lh,4,100,Hausdorff Distance,,6.528213582851813,
csrp,200109,gm,lh,4,100,Self-Intersections (SIF),,10969,254284
csrp,246133,gm,lh,4,100,Chamfer Distance,,5.040847189602638,
csrp,246133,gm,lh,4,100,Hausdorff Distance,,5.901597410787117,
csrp,246133,gm,lh,4,100,Self-Intersections (SIF),,6474,228040
csrp,221319,gm,lh,4,100,Chamfer Distance,,5.147537462968172,
csrp,221319,gm,lh,4,100,Hausdorff Distance,,6.4347425585747295,
csrp,221319,gm,lh,4,100,Self-Intersections (SIF),,5288,222740
csrp,250427,gm,lh,4,100,Chamfer Distance,,5.39319934435123,
csrp,250427,gm,lh,4,100,Hausdorff Distance,,6.683487799022317,
csrp,250427,gm,lh,4,100,Self-Intersections (SIF),,7126,228812
csrp,245333,gm,lh,4,100,Chamfer Distance,,5.2477995629406635,
csrp,245333,gm,lh,4,100,Hausdorff Distance,,7.824182793390776,
csrp,245333,gm,lh,4,100,Self-Intersections (SIF),,8976,228144
csrp,201818,gm,lh,4,100,Chamfer Distance,,5.377350913645431,
csrp,201818,gm,lh,4,100,Hausdorff Distance,,7.010015212390484,
csrp,201818,gm,lh,4,100,Self-Intersections (SIF),,8986,222516
csrp,203721,gm,lh,4,100,Chamfer Distance,,5.5409823463737675,
csrp,203721,gm,lh,4,100,Hausdorff Distance,,7.697961099414336,
csrp,203721,gm,lh,4,100,Self-Intersections (SIF),,9896,223184
csrp,250932,gm,lh,4,100,Chamfer Distance,,5.338096786157278,
csrp,250932,gm,lh,4,100,Hausdorff Distance,,8.080462642240798,
csrp,250932,gm,lh,4,100,Self-Intersections (SIF),,6796,229480
csrp,221218,gm,lh,4,100,Chamfer Distance,,5.016667436064678,
csrp,221218,gm,lh,4,100,Hausdorff Distance,,5.609554506392031,
csrp,221218,gm,lh,4,100,Self-Intersections (SIF),,8546,228396
csrp,231928,gm,lh,4,100,Chamfer Distance,,5.010732245863154,
csrp,231928,gm,lh,4,100,Hausdorff Distance,,6.548833827883668,
csrp,231928,gm,lh,4,100,Self-Intersections (SIF),,5033,233008
csrp,237334,gm,lh,4,100,Chamfer Distance,,5.156430036107155,
csrp,237334,gm,lh,4,100,Hausdorff Distance,,7.811652796031704,
csrp,237334,gm,lh,4,100,Self-Intersections (SIF),,6029,231968
csrp,200210,gm,lh,4,100,Chamfer Distance,,5.646294360853548,
csrp,200210,gm,lh,4,100,Hausdorff Distance,,8.036324142621684,
csrp,200210,gm,lh,4,100,Self-Intersections (SIF),,10584,303732
csrp,256540,gm,lh,4,100,Chamfer Distance,,5.092381099362511,
csrp,256540,gm,lh,4,100,Hausdorff Distance,,6.723810652881888,
csrp,256540,gm,lh,4,100,Self-Intersections (SIF),,6833,232684
csrp,284646,gm,lh,4,100,Chamfer Distance,,5.1651342902731745,
csrp,284646,gm,lh,4,100,Hausdorff Distance,,6.955127456914609,
csrp,284646,gm,lh,4,100,Self-Intersections (SIF),,8383,248228
csrp,249947,gm,lh,4,100,Chamfer Distance,,5.144566232228185,
csrp,249947,gm,lh,4,100,Hausdorff Distance,,6.692974521377188,
csrp,249947,gm,lh,4,100,Self-Intersections (SIF),,10516,236716
csrp,205220,gm,lh,4,100,Chamfer Distance,,5.269343322012151,
csrp,205220,gm,lh,4,100,Hausdorff Distance,,6.80672957664591,
csrp,205220,gm,lh,4,100,Self-Intersections (SIF),,8239,230048
csrp,208226,gm,lh,4,100,Chamfer Distance,,5.170212732035038,
csrp,208226,gm,lh,4,100,Hausdorff Distance,,6.361334218495999,
csrp,208226,gm,lh,4,100,Self-Intersections (SIF),,4433,237356
csrp,280941,gm,lh,4,100,Chamfer Distance,,5.044013429253323,
csrp,280941,gm,lh,4,100,Hausdorff Distance,,7.526127992744339,
csrp,280941,gm,lh,4,100,Self-Intersections (SIF),,5554,252380
csrp,298455,gm,lh,4,100,Chamfer Distance,,5.061841148083933,
csrp,298455,gm,lh,4,100,Hausdorff Distance,,7.395894382941743,
csrp,298455,gm,lh,4,100,Self-Intersections (SIF),,3433,257024
csrp,203418,gm,lh,4,100,Chamfer Distance,,5.315801476123791,
csrp,203418,gm,lh,4,100,Hausdorff Distance,,6.630325789474078,
csrp,203418,gm,lh,4,100,Self-Intersections (SIF),,6798,241020
csrp,227432,gm,lh,4,100,Chamfer Distance,,5.198701742449973,
csrp,227432,gm,lh,4,100,Hausdorff Distance,,7.523130617358296,
csrp,227432,gm,lh,4,100,Self-Intersections (SIF),,3978,251280
csrp,207426,gm,lh,4,100,Chamfer Distance,,5.342057763467118,
csrp,207426,gm,lh,4,100,Hausdorff Distance,,7.184397001548243,
csrp,207426,gm,lh,4,100,Self-Intersections (SIF),,6149,241944
csrp,236130,gm,lh,4,100,Chamfer Distance,,5.396184148938415,
csrp,236130,gm,lh,4,100,Hausdorff Distance,,6.740912046841929,
csrp,236130,gm,lh,4,100,Self-Intersections (SIF),,9609,248980
csrp,287248,gm,lh,4,100,Chamfer Distance,,5.30696385772988,
csrp,287248,gm,lh,4,100,Hausdorff Distance,,7.215071805791073,
csrp,287248,gm,lh,4,100,Self-Intersections (SIF),,10066,263312
csrp,283543,gm,lh,4,100,Chamfer Distance,,5.446526648810397,
csrp,283543,gm,lh,4,100,Hausdorff Distance,,6.855547512597758,
csrp,283543,gm,lh,4,100,Self-Intersections (SIF),,9223,263124
csrp,248339,gm,lh,4,100,Chamfer Distance,,5.1991172682720075,
csrp,248339,gm,lh,4,100,Hausdorff Distance,,7.7540275582673,
csrp,248339,gm,lh,4,100,Self-Intersections (SIF),,5893,255716
csrp,268850,gm,lh,4,100,Chamfer Distance,,5.282733783309325,
csrp,268850,gm,lh,4,100,Hausdorff Distance,,8.736804057826928,
csrp,268850,gm,lh,4,100,Self-Intersections (SIF),,6484,251496
csrp,257542,gm,lh,4,100,Chamfer Distance,,5.385289944378364,
csrp,257542,gm,lh,4,100,Hausdorff Distance,,7.669749510684039,
csrp,257542,gm,lh,4,100,Self-Intersections (SIF),,13107,256292
csrp,239944,gm,lh,4,100,Chamfer Distance,,5.125060391927753,
csrp,239944,gm,lh,4,100,Hausdorff Distance,,8.268668908780011,
csrp,239944,gm,lh,4,100,Self-Intersections (SIF),,8458,256180
csrp,290136,gm,lh,4,100,Chamfer Distance,,5.06218371696304,
csrp,290136,gm,lh,4,100,Hausdorff Distance,,6.866333048056152,
csrp,290136,gm,lh,4,100,Self-Intersections (SIF),,9168,269124
csrp,263436,gm,lh,4,100,Chamfer Distance,,4.94256093765675,
csrp,263436,gm,lh,4,100,Hausdorff Distance,,6.641488212574271,
csrp,263436,gm,lh,4,100,Self-Intersections (SIF),,6941,259936
csrp,208125,gm,lh,4,100,Chamfer Distance,,5.038873035740238,
csrp,208125,gm,lh,4,100,Hausdorff Distance,,6.9669078409945815,
csrp,208125,gm,lh,4,100,Self-Intersections (SIF),,5215,253816
csrp,285446,gm,lh,4,100,Chamfer Distance,,5.171377629533966,
csrp,285446,gm,lh,4,100,Hausdorff Distance,,6.946553337814484,
csrp,285446,gm,lh,4,100,Self-Intersections (SIF),,7900,270100
csrp,286650,gm,lh,4,100,Chamfer Distance,,5.42879210871976,
csrp,286650,gm,lh,4,100,Hausdorff Distance,,7.331315102762398,
csrp,286650,gm,lh,4,100,Self-Intersections (SIF),,5166,273692
csrp,204016,gm,lh,4,100,Chamfer Distance,,5.185607128396215,
csrp,204016,gm,lh,4,100,Hausdorff Distance,,6.361224930566108,
csrp,204016,gm,lh,4,100,Self-Intersections (SIF),,6463,257928
csrp,257845,gm,lh,4,100,Chamfer Distance,,5.095268515450763,
csrp,257845,gm,lh,4,100,Hausdorff Distance,,7.338547327744563,
csrp,257845,gm,lh,4,100,Self-Intersections (SIF),,5727,263160
csrp,298051,gm,lh,4,100,Chamfer Distance,,4.970820467662744,
csrp,298051,gm,lh,4,100,Hausdorff Distance,,6.860935460549118,
csrp,298051,gm,lh,4,100,Self-Intersections (SIF),,5384,278796
csrp,299154,gm,lh,4,100,Chamfer Distance,,5.386376542387897,
csrp,299154,gm,lh,4,100,Hausdorff Distance,,7.688937576767556,
csrp,299154,gm,lh,4,100,Self-Intersections (SIF),,9841,277280
csrp,202719,gm,lh,4,100,Chamfer Distance,,5.158889182962092,
csrp,202719,gm,lh,4,100,Hausdorff Distance,,6.569703229330471,
csrp,202719,gm,lh,4,100,Self-Intersections (SIF),,8014,260908
csrp,205826,gm,lh,4,100,Chamfer Distance,,5.264781830604119,
csrp,205826,gm,lh,4,100,Hausdorff Distance,,7.933984752615543,
csrp,205826,gm,lh,4,100,Self-Intersections (SIF),,9075,262968
csrp,204622,gm,lh,4,100,Chamfer Distance,,5.306264005687834,
csrp,204622,gm,lh,4,100,Hausdorff Distance,,7.730855781868288,
csrp,204622,gm,lh,4,100,Self-Intersections (SIF),,7600,261244
csrp,202113,gm,lh,4,100,Chamfer Distance,,5.353886687297518,
csrp,202113,gm,lh,4,100,Hausdorff Distance,,6.877082808815069,
csrp,202113,gm,lh,4,100,Self-Intersections (SIF),,8495,264984
csrp,205119,gm,lh,4,100,Chamfer Distance,,5.122312865119444,
csrp,205119,gm,lh,4,100,Hausdorff Distance,,7.050474087240181,
csrp,205119,gm,lh,4,100,Self-Intersections (SIF),,6238,267144
csrp,203923,gm,lh,4,100,Chamfer Distance,,5.246073450454823,
csrp,203923,gm,lh,4,100,Hausdorff Distance,,6.521736696926066,
csrp,203923,gm,lh,4,100,Self-Intersections (SIF),,13264,266672
csrp,206222,gm,lh,4,100,Chamfer Distance,,5.306742638837104,
csrp,206222,gm,lh,4,100,Hausdorff Distance,,6.725190390761555,
csrp,206222,gm,lh,4,100,Self-Intersections (SIF),,9332,268836
csrp,233326,gm,lh,4,100,Chamfer Distance,,5.356928502353032,
csrp,233326,gm,lh,4,100,Hausdorff Distance,,7.80216759666331,
csrp,233326,gm,lh,4,100,Self-Intersections (SIF),,8937,276060
csrp,208428,gm,lh,4,100,Chamfer Distance,,5.05388267126953,
csrp,208428,gm,lh,4,100,Hausdorff Distance,,6.752296470070905,
csrp,208428,gm,lh,4,100,Self-Intersections (SIF),,7640,192996
csrp,204319,gm,lh,4,100,Chamfer Distance,,5.077590470110234,
csrp,204319,gm,lh,4,100,Hausdorff Distance,,6.942362044430114,
csrp,204319,gm,lh,4,100,Self-Intersections (SIF),,4995,276852
csrp,251833,gm,lh,4,100,Chamfer Distance,,5.379875614038553,
csrp,251833,gm,lh,4,100,Hausdorff Distance,,7.7719879841546815,
csrp,251833,gm,lh,4,100,Self-Intersections (SIF),,8468,283860
csrp,201717,gm,lh,4,100,Chamfer Distance,,5.155528275022809,
csrp,201717,gm,lh,4,100,Hausdorff Distance,,6.725800524835793,
csrp,201717,gm,lh,4,100,Self-Intersections (SIF),,8055,277080
csrp,209329,gm,lh,4,100,Chamfer Distance,,5.230243166029069,
csrp,209329,gm,lh,4,100,Hausdorff Distance,,7.43066247910066,
csrp,209329,gm,lh,4,100,Self-Intersections (SIF),,8798,222240
csrp,207628,gm,lh,4,100,Chamfer Distance,,4.872693490521408,
csrp,207628,gm,lh,4,100,Hausdorff Distance,,7.010373586957509,
csrp,207628,gm,lh,4,100,Self-Intersections (SIF),,7543,280156
csrp,209834,gm,lh,4,100,Chamfer Distance,,5.022591738211014,
csrp,209834,gm,lh,4,100,Hausdorff Distance,,7.97360892334713,
csrp,209834,gm,lh,4,100,Self-Intersections (SIF),,11400,219812
csrp,201515,gm,lh,4,100,Chamfer Distance,,5.6503343412455,
csrp,201515,gm,lh,4,100,Hausdorff Distance,,10.083761478873617,
csrp,201515,gm,lh,4,100,Self-Intersections (SIF),,11247,268628
csrp,209127,gm,lh,4,100,Chamfer Distance,,5.422404617221678,
csrp,209127,gm,lh,4,100,Hausdorff Distance,,7.494100250136004,
csrp,209127,gm,lh,4,100,Self-Intersections (SIF),,10146,237040
csrp,207123,gm,lh,4,100,Chamfer Distance,,4.989156608922066,
csrp,207123,gm,lh,4,100,Hausdorff Distance,,6.301109935046974,
csrp,207123,gm,lh,4,100,Self-Intersections (SIF),,3681,294400
csrp,268749,gm,lh,4,100,Chamfer Distance,,5.169101475705709,
csrp,268749,gm,lh,4,100,Hausdorff Distance,,7.351460672052908,
csrp,268749,gm,lh,4,100,Self-Intersections (SIF),,12189,297924
csrp,270332,gm,lh,4,100,Chamfer Distance,,5.138133808396414,
csrp,270332,gm,lh,4,100,Hausdorff Distance,,6.717297596517638,
csrp,270332,gm,lh,4,100,Self-Intersections (SIF),,10954,314176
csrp,209228,gm,lh,4,100,Chamfer Distance,,5.266643875232141,
csrp,209228,gm,lh,4,100,Hausdorff Distance,,6.7209343415278555,
csrp,209228,gm,lh,4,100,Self-Intersections (SIF),,8277,257060
csrp,210011,gm,lh,4,100,Chamfer Distance,,4.983104513809833,
csrp,210011,gm,lh,4,100,Hausdorff Distance,,6.999668429035374,
csrp,210011,gm,lh,4,100,Self-Intersections (SIF),,3232,263460
csrp,209935,gm,lh,4,100,Chamfer Distance,,5.418732624826728,
csrp,209935,gm,lh,4,100,Hausdorff Distance,,7.009010006714177,
csrp,209935,gm,lh,4,100,Self-Intersections (SIF),,8142,262668
