Framework,Case,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,separate,201414,gm,lh,4,100,Chamfer Distance,,5.247705886429687,
csrp,separate,201414,gm,lh,4,100,Hausdorff Distance,,9.441641620912849,
csrp,separate,201414,gm,lh,4,100,Self-Intersections (SIF),,6143,232732
csrp,separate,200614,gm,lh,4,100,Chamfer Distance,,5.412888938488106,
csrp,separate,200614,gm,lh,4,100,Hausdorff Distance,,7.043813653155013,
csrp,separate,200614,gm,lh,4,100,Self-Intersections (SIF),,10615,247072
csrp,separate,289555,gm,lh,4,100,Chamfer Distance,,5.065073623144096,
csrp,separate,289555,gm,lh,4,100,Hausdorff Distance,,7.250712930037421,
csrp,separate,289555,gm,lh,4,100,Self-Intersections (SIF),,6576,203360
csrp,separate,200311,gm,lh,4,100,Chamfer Distance,,5.461141396022038,
csrp,separate,200311,gm,lh,4,100,Hausdorff Distance,,8.28819946375749,
csrp,separate,200311,gm,lh,4,100,Self-Intersections (SIF),,6499,249956
csrp,separate,200917,gm,lh,4,100,Chamfer Distance,,4.840420114009925,
csrp,separate,200917,gm,lh,4,100,Hausdorff Distance,,7.055019923565359,
csrp,separate,200917,gm,lh,4,100,Self-Intersections (SIF),,7148,251936
csrp,separate,297655,gm,lh,4,100,Chamfer Distance,,5.061372431318727,
csrp,separate,297655,gm,lh,4,100,Hausdorff Distance,,7.739154916205121,
csrp,separate,297655,gm,lh,4,100,Self-Intersections (SIF),,3728,203312
csrp,separate,293748,gm,lh,4,100,Chamfer Distance,,5.205935886535566,
csrp,separate,293748,gm,lh,4,100,Hausdorff Distance,,7.095404691537547,
csrp,separate,293748,gm,lh,4,100,Self-Intersections (SIF),,5022,207060
csrp,separate,201111,gm,lh,4,100,Chamfer Distance,,5.171377312263081,
csrp,separate,201111,gm,lh,4,100,Hausdorff Distance,,6.8002100831589765,
csrp,separate,201111,gm,lh,4,100,Self-Intersections (SIF),,5311,260424
csrp,separate,200008,gm,lh,4,100,Chamfer Distance,,5.232368322482953,
csrp,separate,200008,gm,lh,4,100,Hausdorff Distance,,7.432592398964157,
csrp,separate,200008,gm,lh,4,100,Self-Intersections (SIF),,12013,232688
csrp,separate,205725,gm,lh,4,100,Chamfer Distance,,5.3690854364468095,
