Framework,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,208428,gm,lh,4,100,Chamfer Distance,,4.9965730973798586,
csrp,208428,gm,lh,4,100,Hausdorff Distance,,6.634149332248142,
csrp,208428,gm,lh,4,100,Self-Intersections (SIF),,9766,192996
csrp,209329,gm,lh,4,100,Chamfer Distance,,5.1884920243449875,
csrp,209329,gm,lh,4,100,Hausdorff Distance,,7.231669911901136,
csrp,209329,gm,lh,4,100,Self-Intersections (SIF),,11601,222240
csrp,209834,gm,lh,4,100,Chamfer Distance,,4.932880906025019,
csrp,209834,gm,lh,4,100,Hausdorff Distance,,8.209385951882362,
csrp,209834,gm,lh,4,100,Self-Intersections (SIF),,11454,219812
csrp,201414,gm,lh,4,100,Chamfer Distance,,5.185556911731319,
csrp,201414,gm,lh,4,100,Hausdorff Distance,,10.371762060899611,
csrp,201414,gm,lh,4,100,Self-Intersections (SIF),,7013,232732
csrp,209127,gm,lh,4,100,Chamfer Distance,,5.283414833909195,
csrp,209127,gm,lh,4,100,Hausdorff Distance,,8.934813647756227,
csrp,209127,gm,lh,4,100,Self-Intersections (SIF),,10250,237040
csrp,200614,gm,lh,4,100,Chamfer Distance,,5.279475968510839,
csrp,200614,gm,lh,4,100,Hausdorff Distance,,7.182710651407016,
csrp,200614,gm,lh,4,100,Self-Intersections (SIF),,9249,247072
csrp,200311,gm,lh,4,100,Chamfer Distance,,5.333205570395917,
csrp,200311,gm,lh,4,100,Hausdorff Distance,,8.430245273852343,
csrp,200311,gm,lh,4,100,Self-Intersections (SIF),,6090,249956
csrp,200917,gm,lh,4,100,Chamfer Distance,,4.858329638176222,
csrp,200917,gm,lh,4,100,Hausdorff Distance,,7.129430862496155,
csrp,200917,gm,lh,4,100,Self-Intersections (SIF),,9626,251936
csrp,289555,gm,lh,4,100,Chamfer Distance,,5.0011746881884305,
csrp,289555,gm,lh,4,100,Hausdorff Distance,,7.443125455438189,
csrp,289555,gm,lh,4,100,Self-Intersections (SIF),,8941,203360
csrp,209228,gm,lh,4,100,Chamfer Distance,,5.161373806351126,
csrp,209228,gm,lh,4,100,Hausdorff Distance,,6.800464947569464,
csrp,209228,gm,lh,4,100,Self-Intersections (SIF),,9129,257060
csrp,297655,gm,lh,4,100,Chamfer Distance,,5.03797643511907,
csrp,297655,gm,lh,4,100,Hausdorff Distance,,7.032126309631121,
csrp,297655,gm,lh,4,100,Self-Intersections (SIF),,4504,203312
csrp,201111,gm,lh,4,100,Chamfer Distance,,5.054337439777988,
csrp,201111,gm,lh,4,100,Hausdorff Distance,,7.137168491681832,
csrp,201111,gm,lh,4,100,Self-Intersections (SIF),,5383,260424
csrp,209935,gm,lh,4,100,Chamfer Distance,,5.3090843580204305,
csrp,209935,gm,lh,4,100,Hausdorff Distance,,6.854824995058199,
csrp,209935,gm,lh,4,100,Self-Intersections (SIF),,7517,262668
csrp,293748,gm,lh,4,100,Chamfer Distance,,5.169346799772709,
csrp,293748,gm,lh,4,100,Hausdorff Distance,,7.033960306392119,
csrp,293748,gm,lh,4,100,Self-Intersections (SIF),,6998,207060
csrp,210011,gm,lh,4,100,Chamfer Distance,,4.953814213514246,
csrp,210011,gm,lh,4,100,Hausdorff Distance,,7.051512445488639,
csrp,210011,gm,lh,4,100,Self-Intersections (SIF),,3720,263460
csrp,200008,gm,lh,4,100,Chamfer Distance,,5.092776229186681,
csrp,200008,gm,lh,4,100,Hausdorff Distance,,6.995123913133167,
csrp,200008,gm,lh,4,100,Self-Intersections (SIF),,12566,232688
csrp,205725,gm,lh,4,100,Chamfer Distance,,5.232938659909412,
csrp,205725,gm,lh,4,100,Hausdorff Distance,,6.2620804494031574,
csrp,205725,gm,lh,4,100,Self-Intersections (SIF),,6062,205132
csrp,224022,gm,lh,4,100,Chamfer Distance,,4.993878364575281,
csrp,224022,gm,lh,4,100,Hausdorff Distance,,6.730238646567991,
csrp,224022,gm,lh,4,100,Self-Intersections (SIF),,7798,209784
csrp,204420,gm,lh,4,100,Chamfer Distance,,5.104337668031733,
csrp,204420,gm,lh,4,100,Hausdorff Distance,,6.219432273377181,
csrp,204420,gm,lh,4,100,Self-Intersections (SIF),,9384,211776
csrp,211316,gm,lh,4,100,Chamfer Distance,,5.194773887045956,
csrp,211316,gm,lh,4,100,Hausdorff Distance,,6.998072980510837,
csrp,211316,gm,lh,4,100,Self-Intersections (SIF),,6453,212960
csrp,208024,gm,lh,4,100,Chamfer Distance,,5.237175644028143,
csrp,208024,gm,lh,4,100,Hausdorff Distance,,6.890148194028098,
csrp,208024,gm,lh,4,100,Self-Intersections (SIF),,9862,214924
csrp,204521,gm,lh,4,100,Chamfer Distance,,4.929314652740528,
csrp,204521,gm,lh,4,100,Hausdorff Distance,,7.077830326564479,
csrp,204521,gm,lh,4,100,Self-Intersections (SIF),,8718,216980
csrp,280739,gm,lh,4,100,Chamfer Distance,,4.931778899510501,
csrp,280739,gm,lh,4,100,Hausdorff Distance,,6.9271915624802185,
csrp,280739,gm,lh,4,100,Self-Intersections (SIF),,6918,225600
csrp,255639,gm,lh,4,100,Chamfer Distance,,5.424461258894685,
csrp,255639,gm,lh,4,100,Hausdorff Distance,,8.740947987334536,
csrp,255639,gm,lh,4,100,Self-Intersections (SIF),,7123,218816
csrp,200109,gm,lh,4,100,Chamfer Distance,,5.13377509291303,
csrp,200109,gm,lh,4,100,Hausdorff Distance,,6.4904958992120125,
csrp,200109,gm,lh,4,100,Self-Intersections (SIF),,13652,254284
csrp,228434,gm,lh,4,100,Chamfer Distance,,5.232016247269627,
csrp,228434,gm,lh,4,100,Hausdorff Distance,,6.42310874342192,
csrp,228434,gm,lh,4,100,Self-Intersections (SIF),,4254,223760
csrp,295146,gm,lh,4,100,Chamfer Distance,,5.004184117452914,
csrp,295146,gm,lh,4,100,Hausdorff Distance,,6.003151329684465,
csrp,295146,gm,lh,4,100,Self-Intersections (SIF),,5862,231716
csrp,221319,gm,lh,4,100,Chamfer Distance,,5.03512593086835,
csrp,221319,gm,lh,4,100,Hausdorff Distance,,5.9921928658593595,
csrp,221319,gm,lh,4,100,Self-Intersections (SIF),,5607,222740
csrp,246133,gm,lh,4,100,Chamfer Distance,,5.013970511083983,
csrp,246133,gm,lh,4,100,Hausdorff Distance,,6.862988299700791,
csrp,246133,gm,lh,4,100,Self-Intersections (SIF),,8879,228040
csrp,285345,gm,lh,4,100,Chamfer Distance,,5.123656099119669,
csrp,285345,gm,lh,4,100,Hausdorff Distance,,6.577795416122864,
csrp,285345,gm,lh,4,100,Self-Intersections (SIF),,8475,230452
csrp,245333,gm,lh,4,100,Chamfer Distance,,5.135979838587819,
csrp,245333,gm,lh,4,100,Hausdorff Distance,,7.203247988082015,
csrp,245333,gm,lh,4,100,Self-Intersections (SIF),,9856,228144
csrp,201818,gm,lh,4,100,Chamfer Distance,,5.251944168255723,
csrp,201818,gm,lh,4,100,Hausdorff Distance,,7.346948583745888,
csrp,201818,gm,lh,4,100,Self-Intersections (SIF),,8871,222516
csrp,275645,gm,lh,4,100,Chamfer Distance,,5.341528770249951,
csrp,275645,gm,lh,4,100,Hausdorff Distance,,7.8150463167844215,
csrp,275645,gm,lh,4,100,Self-Intersections (SIF),,11438,232608
csrp,203721,gm,lh,4,100,Chamfer Distance,,5.316395902530445,
csrp,203721,gm,lh,4,100,Hausdorff Distance,,7.602124248226713,
csrp,203721,gm,lh,4,100,Self-Intersections (SIF),,8577,223184
csrp,250427,gm,lh,4,100,Chamfer Distance,,5.357535869257788,
csrp,250427,gm,lh,4,100,Hausdorff Distance,,6.330542096188986,
csrp,250427,gm,lh,4,100,Self-Intersections (SIF),,8647,228812
csrp,250932,gm,lh,4,100,Chamfer Distance,,5.307011928784734,
csrp,250932,gm,lh,4,100,Hausdorff Distance,,8.123939794447145,
csrp,250932,gm,lh,4,100,Self-Intersections (SIF),,8417,229480
csrp,221218,gm,lh,4,100,Chamfer Distance,,4.958054510982617,
csrp,221218,gm,lh,4,100,Hausdorff Distance,,6.079476962961074,
csrp,221218,gm,lh,4,100,Self-Intersections (SIF),,10259,228396
csrp,212318,gm,lh,4,100,Chamfer Distance,,5.143731219745952,
csrp,212318,gm,lh,4,100,Hausdorff Distance,,6.793533060560021,
csrp,212318,gm,lh,4,100,Self-Intersections (SIF),,4755,226956
csrp,231928,gm,lh,4,100,Chamfer Distance,,4.9946128893093285,
csrp,231928,gm,lh,4,100,Hausdorff Distance,,6.34681883205522,
csrp,231928,gm,lh,4,100,Self-Intersections (SIF),,7698,233008
csrp,212217,gm,lh,4,100,Chamfer Distance,,5.092831539492401,
csrp,212217,gm,lh,4,100,Hausdorff Distance,,6.41257611254487,
csrp,212217,gm,lh,4,100,Self-Intersections (SIF),,9802,231184
csrp,205220,gm,lh,4,100,Chamfer Distance,,5.167812267543734,
csrp,205220,gm,lh,4,100,Hausdorff Distance,,6.763462007920115,
csrp,205220,gm,lh,4,100,Self-Intersections (SIF),,9559,230048
csrp,214221,gm,lh,4,100,Chamfer Distance,,4.917780334947738,
csrp,214221,gm,lh,4,100,Hausdorff Distance,,6.372520902601355,
csrp,214221,gm,lh,4,100,Self-Intersections (SIF),,5900,231012
csrp,214019,gm,lh,4,100,Chamfer Distance,,5.25337016527525,
csrp,214019,gm,lh,4,100,Hausdorff Distance,,7.278109729404839,
csrp,214019,gm,lh,4,100,Self-Intersections (SIF),,8850,226788
csrp,200210,gm,lh,4,100,Chamfer Distance,,5.40212996422647,
csrp,200210,gm,lh,4,100,Hausdorff Distance,,8.341870802310236,
csrp,200210,gm,lh,4,100,Self-Intersections (SIF),,7942,303732
csrp,210415,gm,lh,4,100,Chamfer Distance,,5.443136925031416,
csrp,210415,gm,lh,4,100,Hausdorff Distance,,8.79297978380563,
csrp,210415,gm,lh,4,100,Self-Intersections (SIF),,10747,216244
csrp,237334,gm,lh,4,100,Chamfer Distance,,5.0890004364828,
csrp,237334,gm,lh,4,100,Hausdorff Distance,,8.01638377866324,
csrp,237334,gm,lh,4,100,Self-Intersections (SIF),,5198,231968
csrp,256540,gm,lh,4,100,Chamfer Distance,,5.006930689312198,
csrp,256540,gm,lh,4,100,Hausdorff Distance,,6.528626863228725,
csrp,256540,gm,lh,4,100,Self-Intersections (SIF),,7085,232684
csrp,284646,gm,lh,4,100,Chamfer Distance,,4.944773852730754,
csrp,284646,gm,lh,4,100,Hausdorff Distance,,7.165283980783401,
csrp,284646,gm,lh,4,100,Self-Intersections (SIF),,7830,248228
csrp,249947,gm,lh,4,100,Chamfer Distance,,5.108827497319096,
csrp,249947,gm,lh,4,100,Hausdorff Distance,,6.586970224960516,
csrp,249947,gm,lh,4,100,Self-Intersections (SIF),,14310,236716
csrp,217429,gm,lh,4,100,Chamfer Distance,,5.233097493997549,
