Framework,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,200008,gm,lh,4,100,Dice,0,0.0,
csrp,200008,gm,lh,4,100,Dice,1,0.0,
csrp,200008,gm,lh,4,100,Dice,2,0.7421458209839953,
csrp,200008,gm,lh,4,100,Dice,3,0.815075639019301,
csrp,200008,gm,lh,4,100,Dice,4,0.9352045009166192,
csrp,200008,gm,lh,4,100,Dice,5,0.7833117723156533,
csrp,200008,gm,lh,4,100,Dice,6,0.6321184510250569,
csrp,200008,gm,lh,4,100,Dice,7,0.8362285589424232,
csrp,200008,gm,lh,4,100,Dice,8,0.7606911109373778,
csrp,200008,gm,lh,4,100,Dice,9,0.8206896551724138,
csrp,200008,gm,lh,4,100,Dice,10,0.8711243929772133,
csrp,200008,gm,lh,4,100,Dice,11,0.8554921968787516,
csrp,200008,gm,lh,4,100,Dice,12,0.39393372027710166,
csrp,200008,gm,lh,4,100,Dice,13,0.8467048710601719,
csrp,200008,gm,lh,4,100,Dice,14,0.2737567700640079,
csrp,200008,gm,lh,4,100,Dice,15,0.8111622324464893,
csrp,200008,gm,lh,4,100,Dice,16,0.7493202827623708,
csrp,200008,gm,lh,4,100,Dice,17,0.7745159275452842,
csrp,200008,gm,lh,4,100,Dice,18,0.8025101513473607,
csrp,200008,gm,lh,4,100,Dice,19,0.7721036585365854,
csrp,200008,gm,lh,4,100,Dice,20,0.7310454908220272,
csrp,200008,gm,lh,4,100,Dice,21,0.7866088631984586,
csrp,200008,gm,lh,4,100,Dice,22,0.8258548790658883,
csrp,200008,gm,lh,4,100,Dice,23,0.864892792560062,
csrp,200008,gm,lh,4,100,Dice,24,0.8854289533695053,
csrp,200008,gm,lh,4,100,Dice,25,0.8590132827324478,
csrp,200008,gm,lh,4,100,Dice,26,0.7978798586572439,
csrp,200008,gm,lh,4,100,Dice,27,0.6298064840412164,
csrp,200008,gm,lh,4,100,Dice,28,0.4883305785123967,
csrp,200008,gm,lh,4,100,Dice,29,0.7495026525198939,
csrp,200008,gm,lh,4,100,Dice,30,0.8203753351206434,
csrp,200008,gm,lh,4,100,Dice,31,0.7662569036166043,
csrp,200008,gm,lh,4,100,Dice,32,0.0,
csrp,200008,gm,lh,4,100,Dice,33,0.0,
csrp,200008,gm,lh,4,100,Dice,34,0.6760687527545174,
csrp,200008,gm,lh,4,100,Dice,35,0.7644230769230769,
csrp,200109,gm,lh,4,100,Dice,0,0.0,
csrp,200109,gm,lh,4,100,Dice,1,0.0,
csrp,200109,gm,lh,4,100,Dice,2,0.6091833158079215,
csrp,200109,gm,lh,4,100,Dice,3,0.7949398719350305,
csrp,200109,gm,lh,4,100,Dice,4,0.9329302852824485,
csrp,200109,gm,lh,4,100,Dice,5,0.8667831697808845,
csrp,200109,gm,lh,4,100,Dice,6,0.684514435695538,
csrp,200109,gm,lh,4,100,Dice,7,0.8294951284322409,
csrp,200109,gm,lh,4,100,Dice,8,0.8917273328921245,
csrp,200109,gm,lh,4,100,Dice,9,0.8410953427943234,
csrp,200109,gm,lh,4,100,Dice,10,0.8549458231387627,
