Framework,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
csrp,200008,gm,lh,4,100,Dice,0,0.0,
csrp,200008,gm,lh,4,100,Dice,1,0.0,
csrp,200008,gm,lh,4,100,Dice,2,0.8162352189197827,
csrp,200008,gm,lh,4,100,Dice,3,0.6545614291990043,
csrp,200008,gm,lh,4,100,Dice,4,0.8231019604874725,
csrp,200008,gm,lh,4,100,Dice,5,0.7032235459004905,
csrp,200008,gm,lh,4,100,Dice,6,0.49158249158249157,
csrp,200008,gm,lh,4,100,Dice,7,0.7298636926889716,
csrp,200008,gm,lh,4,100,Dice,8,0.7689713322091062,
csrp,200008,gm,lh,4,100,Dice,9,0.47144992526158447,
csrp,200008,gm,lh,4,100,Dice,10,0.6210333071072647,
csrp,200008,gm,lh,4,100,Dice,11,0.7866844625893068,
csrp,200008,gm,lh,4,100,Dice,12,0.42209072978303747,
csrp,200008,gm,lh,4,100,Dice,13,0.8484473586539651,
csrp,200008,gm,lh,4,100,Dice,14,0.5332778702163061,
csrp,200008,gm,lh,4,100,Dice,15,0.6831543551361319,
csrp,200008,gm,lh,4,100,Dice,16,0.5949449125081011,
csrp,200008,gm,lh,4,100,Dice,17,0.7722246793454224,
csrp,200008,gm,lh,4,100,Dice,18,0.7045500505561173,
csrp,200008,gm,lh,4,100,Dice,19,0.7768909160015204,
csrp,200008,gm,lh,4,100,Dice,20,0.6172036653857523,
csrp,200008,gm,lh,4,100,Dice,21,0.8086229652441707,
csrp,200008,gm,lh,4,100,Dice,22,0.7062314540059347,
csrp,200008,gm,lh,4,100,Dice,23,0.8035126234906695,
csrp,200008,gm,lh,4,100,Dice,24,0.7296909242046399,
csrp,200008,gm,lh,4,100,Dice,25,0.7774828375286041,
csrp,200008,gm,lh,4,100,Dice,26,0.7657450076804916,
csrp,200008,gm,lh,4,100,Dice,27,0.6727205792121733,
csrp,200008,gm,lh,4,100,Dice,28,0.4061911733946873,
csrp,200008,gm,lh,4,100,Dice,29,0.7431488850514303,
csrp,200008,gm,lh,4,100,Dice,30,0.7827875596511437,
csrp,200008,gm,lh,4,100,Dice,31,0.7024887872658517,
csrp,200008,gm,lh,4,100,Dice,32,0.0,
csrp,200008,gm,lh,4,100,Dice,33,0.0,
csrp,200008,gm,lh,4,100,Dice,34,0.5941176470588235,
csrp,200008,gm,lh,4,100,Dice,35,0.8558250768705159,
csrp,200109,gm,lh,4,100,Dice,0,0.0,
csrp,200109,gm,lh,4,100,Dice,1,0.0,
csrp,200109,gm,lh,4,100,Dice,2,0.8051247471341875,
csrp,200109,gm,lh,4,100,Dice,3,0.6827371695178849,
csrp,200109,gm,lh,4,100,Dice,4,0.7530125165202519,
csrp,200109,gm,lh,4,100,Dice,5,0.8293489700796872,
csrp,200109,gm,lh,4,100,Dice,6,0.797366495976591,
csrp,200109,gm,lh,4,100,Dice,7,0.6736102700738767,
csrp,200109,gm,lh,4,100,Dice,8,0.8386655047927299,
csrp,200109,gm,lh,4,100,Dice,9,0.6713194627337372,
csrp,200109,gm,lh,4,100,Dice,10,0.559433962264151,
