Framework,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
FastSurfer,203721,gm,lh,0,,Chamfer Distance,,1.0802159406691123,
FastSurfer,203721,gm,lh,0,,Hausdorff Distance,,6.3517627979263604,
FastSurfer,203721,gm,lh,0,,Self-Intersections (SIF),,0,243334
FastSurfer,203721,gm,lh,0,,Macro Dice,,0.8617510917561254,
FastSurfer,201818,gm,lh,0,,Chamfer Distance,,1.020719121052961,
FastSurfer,201818,gm,lh,0,,Hausdorff Distance,,5.663715718611084,
FastSurfer,201818,gm,lh,0,,Self-Intersections (SIF),,0,242998
FastSurfer,201818,gm,lh,0,,Macro Dice,,0.8791528353866225,
FastSurfer,200008,gm,lh,0,,Chamfer Distance,,0.980787127765625,
FastSurfer,200008,gm,lh,0,,Hausdorff Distance,,5.756453166189417,
FastSurfer,200008,gm,lh,0,,Self-Intersections (SIF),,0,256702
FastSurfer,200008,gm,lh,0,,Macro Dice,,0.8542822725463135,
FastSurfer,201414,gm,lh,0,,Chamfer Distance,,1.0891162745176688,
FastSurfer,201414,gm,lh,0,,Hausdorff Distance,,9.537848440157216,
FastSurfer,201414,gm,lh,0,,Self-Intersections (SIF),,0,252064
FastSurfer,201414,gm,lh,0,,Macro Dice,,0.8616214477867077,
FastSurfer,203418,gm,lh,0,,Chamfer Distance,,1.0164126545957568,
FastSurfer,203418,gm,lh,0,,Hausdorff Distance,,5.695958093212755,
FastSurfer,203418,gm,lh,0,,Self-Intersections (SIF),,0,266246
FastSurfer,203418,gm,lh,0,,Macro Dice,,0.8674750404411345,
FastSurfer,200311,gm,lh,0,,Chamfer Distance,,1.0729632975854588,
FastSurfer,200311,gm,lh,0,,Hausdorff Distance,,7.116439685895647,
FastSurfer,200311,gm,lh,0,,Self-Intersections (SIF),,2,272224
FastSurfer,200311,gm,lh,0,,Macro Dice,,0.8916636211809656,
FastSurfer,200614,gm,lh,0,,Chamfer Distance,,1.0487244318690796,
FastSurfer,200614,gm,lh,0,,Hausdorff Distance,,6.660844651525018,
FastSurfer,200614,gm,lh,0,,Self-Intersections (SIF),,0,270716
FastSurfer,200614,gm,lh,0,,Macro Dice,,0.8779991577710616,
FastSurfer,202719,gm,lh,0,,Chamfer Distance,,1.0171922665036586,
FastSurfer,202719,gm,lh,0,,Hausdorff Distance,,6.336524659710342,
FastSurfer,202719,gm,lh,0,,Self-Intersections (SIF),,0,283150
FastSurfer,202719,gm,lh,0,,Macro Dice,,0.8838629380784724,
FastSurfer,204016,gm,lh,0,,Chamfer Distance,,0.9953259347270519,
FastSurfer,204016,gm,lh,0,,Hausdorff Distance,,5.901654577399342,
FastSurfer,204016,gm,lh,0,,Self-Intersections (SIF),,0,282464
FastSurfer,204016,gm,lh,0,,Macro Dice,,0.8809867227301235,
FastSurfer,200917,gm,lh,0,,Chamfer Distance,,0.9891846677208422,
FastSurfer,200917,gm,lh,0,,Hausdorff Distance,,8.257614791516115,
FastSurfer,200917,gm,lh,0,,Self-Intersections (SIF),,0,282914
FastSurfer,200917,gm,lh,0,,Macro Dice,,0.8512343022071859,
FastSurfer,200109,gm,lh,0,,Chamfer Distance,,1.0287075349783918,
