Framework,Condition,Subject ID,surf_type,Hemisphere,GNNLayers,Epoch,Metric,Label,Score,Total Triangles
freesurfercsrp,d,200008,gm,lh,8,400,Macro Dice,,0.9135403896378933,
freesurfercsrp,d,200008,wm,lh,8,350,Macro Dice,,0.923156041626258,
freesurfercsrp,d,200008,gm,rh,8,360,Macro Dice,,0.9360424265800704,
freesurfercsrp,d,200008,wm,rh,8,401,Macro Dice,,0.9426600505273804,
freesurfercsrp,d,200917,gm,lh,8,400,Macro Dice,,0.9079309204806468,
freesurfercsrp,d,201111,gm,lh,8,400,Macro Dice,,0.899103304536104,
freesurfercsrp,d,200109,gm,lh,8,400,Macro Dice,,0.9318726795289852,
freesurfercsrp,d,201818,gm,lh,8,400,Macro Dice,,0.92383422518315,
freesurfercsrp,d,201717,gm,lh,8,400,Macro Dice,,0.9171648862552154,
freesurfercsrp,d,200917,wm,lh,8,350,Macro Dice,,0.9097535948188629,
freesurfercsrp,d,200311,gm,lh,8,400,Macro Dice,,0.9324212940531973,
freesurfercsrp,d,201515,gm,lh,8,400,Macro Dice,,0.9052114043905624,
freesurfercsrp,d,201111,wm,lh,8,350,Macro Dice,,0.9123459125878038,
freesurfercsrp,d,200614,gm,lh,8,400,Macro Dice,,0.9131041564906166,
freesurfercsrp,d,200109,wm,lh,8,350,Macro Dice,,0.9409718434857185,
freesurfercsrp,d,201818,wm,lh,8,350,Macro Dice,,0.9238702887450168,
freesurfercsrp,d,201414,gm,lh,8,400,Macro Dice,,0.9210353771229431,
freesurfercsrp,d,201717,wm,lh,8,350,Macro Dice,,0.9169022759406815,
freesurfercsrp,d,200917,gm,rh,8,360,Macro Dice,,0.9154657777948594,
freesurfercsrp,d,200311,wm,lh,8,350,Macro Dice,,0.940260009448114,
freesurfercsrp,d,200210,gm,lh,8,400,Macro Dice,,0.9228681886725718,
freesurfercsrp,d,201515,wm,lh,8,350,Macro Dice,,0.9095657720053214,
freesurfercsrp,d,201111,gm,rh,8,360,Macro Dice,,0.9118681601321984,
freesurfercsrp,d,200614,wm,lh,8,350,Macro Dice,,0.9169295841136634,
freesurfercsrp,d,201818,gm,rh,8,360,Macro Dice,,0.9086726430558828,
freesurfercsrp,d,201414,wm,lh,8,350,Macro Dice,,0.9230539566285844,
freesurfercsrp,d,200109,gm,rh,8,360,Macro Dice,,0.9178156724036364,
freesurfercsrp,d,200917,wm,rh,8,401,Macro Dice,,0.9179151555484846,
freesurfercsrp,d,201717,gm,rh,8,360,Macro Dice,,0.9148727220783036,
freesurfercsrp,d,200311,gm,rh,8,360,Macro Dice,,0.9257402094939703,
freesurfercsrp,d,200210,wm,lh,8,350,Macro Dice,,0.9255079953278387,
freesurfercsrp,d,201515,gm,rh,8,360,Macro Dice,,0.9314373622019506,
freesurfercsrp,d,201111,wm,rh,8,401,Macro Dice,,0.9168084168783637,
freesurfercsrp,d,201818,wm,rh,8,401,Macro Dice,,0.908325938354279,
freesurfercsrp,d,200614,gm,rh,8,360,Macro Dice,,0.9166444779079392,
freesurfercsrp,d,201414,gm,rh,8,360,Macro Dice,,0.9294890384858957,
freesurfercsrp,d,200109,wm,rh,8,401,Macro Dice,,0.9227178666362785,
freesurfercsrp,d,201717,wm,rh,8,401,Macro Dice,,0.9259511458211138,
freesurfercsrp,d,200311,wm,rh,8,401,Macro Dice,,0.92349989697572,
freesurfercsrp,d,201515,wm,rh,8,401,Macro Dice,,0.9387234974999824,
freesurfercsrp,d,200614,wm,rh,8,401,Macro Dice,,0.9181962354429268,
freesurfercsrp,d,201414,wm,rh,8,401,Macro Dice,,0.9307327373206316,
freesurfercsrp,d,200210,gm,rh,8,360,Macro Dice,,0.9273792956572375,
freesurfercsrp,d,200210,wm,rh,8,401,Macro Dice,,0.9309053460759742,
freesurfercsrp,d,204521,gm,lh,8,400,Macro Dice,,0.9361032763276199,
freesurfercsrp,d,204319,gm,lh,8,400,Macro Dice,,0.9304640802258717,
freesurfercsrp,d,202719,gm,lh,8,400,Macro Dice,,0.9288905523085097,
freesurfercsrp,d,202113,gm,lh,8,400,Macro Dice,,0.9309529984799109,
freesurfercsrp,d,203721,gm,lh,8,400,Macro Dice,,0.9184472164419872,
freesurfercsrp,d,204016,gm,lh,8,400,Macro Dice,,0.9259211728048982,
freesurfercsrp,d,203923,gm,lh,8,400,Macro Dice,,0.9236816503332412,
freesurfercsrp,d,204420,gm,lh,8,400,Macro Dice,,0.9100077115545606,
freesurfercsrp,d,204521,wm,lh,8,350,Macro Dice,,0.9429851689940759,
freesurfercsrp,d,203418,gm,lh,8,400,Macro Dice,,0.9221951292148839,
freesurfercsrp,d,204319,wm,lh,8,350,Macro Dice,,0.9270844294415134,
freesurfercsrp,d,202719,wm,lh,8,350,Macro Dice,,0.9317383927688159,
freesurfercsrp,d,204622,gm,lh,8,400,Macro Dice,,0.9278125194360017,
freesurfercsrp,d,203721,wm,lh,8,350,Macro Dice,,0.9233590173332664,
freesurfercsrp,d,202113,wm,lh,8,350,Macro Dice,,0.9311637724020922,
freesurfercsrp,d,204016,wm,lh,8,350,Macro Dice,,0.929362203062972,
freesurfercsrp,d,203923,wm,lh,8,350,Macro Dice,,0.9338881325199407,
freesurfercsrp,d,204420,wm,lh,8,350,Macro Dice,,0.9124964560704226,
freesurfercsrp,d,204521,gm,rh,8,360,Macro Dice,,0.9320919879448261,
freesurfercsrp,d,203418,wm,lh,8,350,Macro Dice,,0.9200198506705365,
freesurfercsrp,d,204319,gm,rh,8,360,Macro Dice,,0.9118731079737025,
freesurfercsrp,d,202719,gm,rh,8,360,Macro Dice,,0.9262848887659321,
freesurfercsrp,d,204622,wm,lh,8,350,Macro Dice,,0.933817428901566,
freesurfercsrp,d,203721,gm,rh,8,360,Macro Dice,,0.9309890022103653,
freesurfercsrp,d,204016,gm,rh,8,360,Macro Dice,,0.9125311927941638,
freesurfercsrp,d,202113,gm,rh,8,360,Macro Dice,,0.933250868681852,
freesurfercsrp,d,204420,gm,rh,8,360,Macro Dice,,0.9158642696634067,
freesurfercsrp,d,203923,gm,rh,8,360,Macro Dice,,0.9286412367618408,
