Condition,Metric,surf_type,mean,std
a,Chamfer Distance,gm,0.9164742743959617,0.027352185133549964
a,Chamfer Distance,wm,0.7519883470634844,0.014176654508648735
a,Hausdorff Distance,gm,5.784210742536366,1.3720087374123269
a,Hausdorff Distance,wm,4.958348540733239,1.354669712408116
a,Self-Intersections (SIF),gm,9620.228971962617,2802.5386377122973
a,Self-Intersections (SIF),wm,80.17289719626169,103.35981644892557
b,Chamfer Distance,gm,1.0410650998361317,0.033168914797016454
b,Chamfer Distance,wm,0.9142447912131516,0.015216090797116617
b,Hausdorff Distance,gm,5.858321126956042,1.3315251779432797
b,Hausdorff Distance,wm,5.198756505024269,1.3861723700460575
b,Self-Intersections (SIF),gm,3602.7943925233644,1162.757425590794
b,Self-Intersections (SIF),wm,8.957943925233645,23.35685817745451
c,Chamfer Distance,gm,0.8896877065612988,0.02596877756168332
c,Chamfer Distance,wm,0.7660166976733204,0.01378824041455098
c,Hausdorff Distance,gm,5.692346075126146,1.3156202060862912
c,Hausdorff Distance,wm,4.9849359857634585,1.3707396243937404
c,Self-Intersections (SIF),gm,822.6915887850467,426.4995398445406
c,Self-Intersections (SIF),wm,1.5,3.5041893103833153
fastsurfer,Chamfer Distance,gm,1.0189099105407413,0.027703761426308964
fastsurfer,Chamfer Distance,wm,0.8318496681200501,0.024807636478786182
fastsurfer,Hausdorff Distance,gm,6.777140458700142,1.0949807206484217
fastsurfer,Hausdorff Distance,wm,5.362942002927658,1.113251885252377
fastsurfer,Self-Intersections (SIF),gm,0.4672897196261682,4.080913450653517
fastsurfer,Self-Intersections (SIF),wm,0.2383177570093458,3.4862882278257827
