surf_type,data_name,hemisphere,version,model_type,layers,heads,epoch,solver,reconstruction,classification,random_number,MODEL_FILE,MODEL_DIR
wm,hcp,lh,v4,csrvc,8,1,340,euler,False,True,483397,model_wm_hcp_lh_vc_v4_csrvc_layers8_sf0.1_heads1_340epochs_euler_norecon_class_de0.1_483397.pt,/data/users2/washbee/CortexODE-CSRFusionNet/ckpts/isbi/isbi_gnnv4_0/model/
wm,hcp,lh,v4,csrvc,8,1,100,euler,True,False,705278,model_wm_hcp_lh_vc_v4_csrvc_layers8_sf0.1_heads1_100epochs_euler_recon_noclass_de0.1_705278.pt,/data/users2/washbee/CortexODE-CSRFusionNet/ckpts/isbi/isbi_gnnv4_0/model/
wm,hcp,lh,v4,csrvc,8,1,90,euler,True,True,563453,model_wm_hcp_lh_vc_v4_csrvc_layers8_sf0.1_heads1_90epochs_euler_recon_class_de0.1_563453.pt,/data/users2/washbee/CortexODE-CSRFusionNet/ckpts/isbi/isbi_gnnv4_0/model/
wm,hcp,rh,v4,csrvc,8,1,360,euler,False,True,906499,model_wm_hcp_rh_vc_v4_csrvc_layers8_sf0.1_heads1_360epochs_euler_norecon_class_de0.1_906499.pt,/data/users2/washbee/CortexODE-CSRFusionNet/ckpts/isbi/isbi_gnnv4_0/model/
wm,hcp,rh,v4,csrvc,8,1,100,euler,True,False,415692,model_wm_hcp_rh_vc_v4_csrvc_layers8_sf0.1_heads1_100epochs_euler_recon_noclass_de0.1_415692.pt,/data/users2/washbee/CortexODE-CSRFusionNet/ckpts/isbi/isbi_gnnv4_0/model/
wm,hcp,rh,v4,csrvc,8,1,100,euler,True,True,286701,model_wm_hcp_rh_vc_v4_csrvc_layers8_sf0.1_heads1_100epochs_euler_recon_class_de0.1_286701.pt,/data/users2/washbee/CortexODE-CSRFusionNet/ckpts/isbi/isbi_gnnv4_0/model/
gm,hcp,lh,v4,csrvc,8,1,320,euler,False,True,350824,model_gm_hcp_lh_vc_v4_csrvc_layers8_sf0.1_heads1_320epochs_euler_norecon_class_de0.1_350824.pt,/data/users2/washbee/CortexODE-CSRFusionNet/ckpts/isbi/isbi_gnnv4_0/model/
gm,hcp,lh,v4,csrvc,8,1,40,euler,True,False,302724,model_gm_hcp_lh_vc_v4_csrvc_layers8_sf0.1_heads1_40epochs_euler_recon_noclass_de0.1_302724.pt,/data/users2/washbee/CortexODE-CSRFusionNet/ckpts/isbi/isbi_gnnv4_0/model/
gm,hcp,lh,v4,csrvc,8,1,90,euler,True,True,827387,model_gm_hcp_lh_vc_v4_csrvc_layers8_sf0.1_heads1_90epochs_euler_recon_class_de0.1_827387.pt,/data/users2/washbee/CortexODE-CSRFusionNet/ckpts/isbi/isbi_gnnv4_0/model/
gm,hcp,rh,v4,csrvc,8,1,160,euler,False,True,220454,model_gm_hcp_rh_vc_v4_csrvc_layers8_sf0.1_heads1_160epochs_euler_norecon_class_de0.1_220454.pt,/data/users2/washbee/CortexODE-CSRFusionNet/ckpts/isbi/isbi_gnnv4_0/model/
gm,hcp,rh,v4,csrvc,8,1,40,euler,True,False,776971,model_gm_hcp_rh_vc_v4_csrvc_layers8_sf0.1_heads1_40epochs_euler_recon_noclass_de0.1_776971.pt,/data/users2/washbee/CortexODE-CSRFusionNet/ckpts/isbi/isbi_gnnv4_0/model/
gm,hcp,rh,v4,csrvc,8,1,80,euler,True,True,701640,model_gm_hcp_rh_vc_v4_csrvc_layers8_sf0.1_heads1_80epochs_euler_recon_class_de0.1_701640.pt,/data/users2/washbee/CortexODE-CSRFusionNet/ckpts/isbi/isbi_gnnv4_0/model/
