filename,surf_type,hemisphere,layers,solver,heads,version,random_number,model_type,classification,reconstruction,epoch,recon_error,dice_error
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_recon_noclass_519255_heads1.log,gm,lh,4,euler,1,v3,519255.0,csrvc,False,True,100,0.0074908153378757,-1.0
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_recon_noclass_519255_heads1.log,gm,lh,4,euler,1,v3,519255.0,csrvc,False,True,100,0.0074908153378757,-1.0
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_recon_noclass_519255_heads1.log,gm,lh,4,euler,1,v3,519255.0,csrvc,False,True,100,0.0074908153378757,-1.0
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_recon_noclass_519255_heads1.log,gm,lh,4,euler,1,v3,519255.0,csrvc,False,True,99,0.0074908153378757,-1.0
model_gm_hcp_rh_vc_v3_csrvc_layers4_sf0.1_euler_recon_noclass_382778_heads1.log,gm,rh,4,euler,1,v3,382778.0,csrvc,False,True,110,0.007614613133322,-1.0
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_norecon_class_675772_heads1.log,gm,lh,4,euler,1,v3,675772.0,csrvc,True,False,380,100.0,0.9178122452840628
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_norecon_class_675772_heads1.log,gm,lh,4,euler,1,v3,675772.0,csrvc,True,False,380,100.0,0.9178122452840628
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_norecon_class_675772_heads1.log,gm,lh,4,euler,1,v3,675772.0,csrvc,True,False,380,100.0,0.9178122452840628
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_norecon_class_675772_heads1.log,gm,lh,4,euler,1,v3,675772.0,csrvc,True,False,380,100.0,0.9178122452840628
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_norecon_class_675772_heads1.log,gm,lh,4,euler,1,v3,675772.0,csrvc,True,False,400,100.0,0.9175155590927576
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_recon_class_485814_heads1.log,gm,lh,4,euler,1,v3,485814.0,csrvc,True,True,150,100.0,0.9118343869870544
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_recon_class_485814_heads1.log,gm,lh,4,euler,1,v3,485814.0,csrvc,True,True,150,0.0137124141389182,0.9118343869870544
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_recon_class_485814_heads1.log,gm,lh,4,euler,1,v3,485814.0,csrvc,True,True,150,0.0137124141389182,0.9118343869870544
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_recon_class_485814_heads1.log,gm,lh,4,euler,1,v3,485814.0,csrvc,True,True,150,0.0137124141389182,0.9118343869870544
model_gm_hcp_lh_vc_v3_csrvc_layers4_sf0.1_euler_recon_class_485814_heads1.log,gm,lh,4,euler,1,v3,485814.0,csrvc,True,True,140,0.014909783747561,0.9092949646097024
model_gm_hcp_rh_vc_v3_csrvc_layers8_sf0.1_euler_recon_noclass_803572_heads1.log,gm,rh,8,euler,1,v3,803572.0,csrvc,False,True,60,0.0080849414466527,-1.0
model_gm_hcp_rh_vc_v3_csrvc_layers8_sf0.1_euler_recon_noclass_803572_heads1.log,gm,rh,8,euler,1,v3,803572.0,csrvc,False,True,59,0.0080849414466527,-1.0
model_gm_hcp_rh_vc_v3_csrvc_layers8_sf0.1_euler_recon_noclass_803572_heads1.log,gm,rh,8,euler,1,v3,803572.0,csrvc,False,True,60,0.0080849414466527,-1.0
model_gm_hcp_rh_vc_v3_csrvc_layers8_sf0.1_euler_recon_noclass_803572_heads1.log,gm,rh,8,euler,1,v3,803572.0,csrvc,False,True,60,0.0080849414466527,-1.0
model_gm_hcp_lh_vc_v3_csrvc_layers8_sf0.1_euler_recon_noclass_393625_heads1.log,gm,lh,8,euler,1,v3,393625.0,csrvc,False,True,50,0.0082269005782516,-1.0
model_gm_hcp_lh_vc_v3_csrvc_layers8_sf0.1_euler_norecon_class_849999_heads1.log,gm,lh,8,euler,1,v3,849999.0,csrvc,True,False,290,100.0,0.9201919758015578
model_gm_hcp_lh_vc_v3_csrvc_layers8_sf0.1_euler_norecon_class_849999_heads1.log,gm,lh,8,euler,1,v3,849999.0,csrvc,True,False,290,100.0,0.9201919758015578
model_gm_hcp_lh_vc_v3_csrvc_layers8_sf0.1_euler_norecon_class_849999_heads1.log,gm,lh,8,euler,1,v3,849999.0,csrvc,True,False,290,100.0,0.9201919758015578
model_gm_hcp_lh_vc_v3_csrvc_layers8_sf0.1_euler_norecon_class_849999_heads1.log,gm,lh,8,euler,1,v3,849999.0,csrvc,True,False,290,100.0,0.9201919758015578
model_gm_hcp_lh_vc_v3_csrvc_layers8_sf0.1_euler_norecon_class_849999_heads1.log,gm,lh,8,euler,1,v3,849999.0,csrvc,True,False,380,100.0,0.9195364275915126
model_gm_hcp_lh_vc_v3_csrvc_layers8_sf0.1_euler_recon_class_656249_heads1.log,gm,lh,8,euler,1,v3,656249.0,csrvc,True,True,70,0.0166266819879669,0.8978435287110375
model_gm_hcp_lh_vc_v3_csrvc_layers8_sf0.1_euler_recon_class_656249_heads1.log,gm,lh,8,euler,1,v3,656249.0,csrvc,True,True,70,0.0166266819879669,0.8978435287110375
model_gm_hcp_lh_vc_v3_csrvc_layers8_sf0.1_euler_recon_class_656249_heads1.log,gm,lh,8,euler,1,v3,656249.0,csrvc,True,True,70,0.0166266819879669,0.8978435287110375
model_gm_hcp_lh_vc_v3_csrvc_layers8_sf0.1_euler_recon_class_656249_heads1.log,gm,lh,8,euler,1,v3,656249.0,csrvc,True,True,70,100.0,0.8978435287110375
model_gm_hcp_rh_vc_v3_csrvc_layers8_sf0.1_euler_recon_class_529504_heads1.log,gm,rh,8,euler,1,v3,529504.0,csrvc,True,True,60,0.0181599188724468,0.8935641775329182
model_gm_hcp_lh_vc_v3_csrvc_layers12_sf0.1_euler_norecon_class_649570_heads1.log,gm,lh,12,euler,1,v3,649570.0,csrvc,True,False,330,100.0,0.9217568157381354
model_gm_hcp_lh_vc_v3_csrvc_layers12_sf0.1_euler_norecon_class_649570_heads1.log,gm,lh,12,euler,1,v3,649570.0,csrvc,True,False,330,100.0,0.9217568157381354
model_gm_hcp_lh_vc_v3_csrvc_layers12_sf0.1_euler_norecon_class_649570_heads1.log,gm,lh,12,euler,1,v3,649570.0,csrvc,True,False,330,100.0,0.9217568157381354
model_gm_hcp_lh_vc_v3_csrvc_layers12_sf0.1_euler_norecon_class_649570_heads1.log,gm,lh,12,euler,1,v3,649570.0,csrvc,True,False,330,100.0,0.9217568157381354
model_gm_hcp_lh_vc_v3_csrvc_layers12_sf0.1_euler_norecon_class_828503_heads1.log,gm,lh,12,euler,1,v3,828503.0,csrvc,True,False,240,100.0,0.9216901614859252
