hemisphere,surf_type,model_type,solver,gnn_layers,epochs,validation_error
lh,gm,v2,euler,2,1,0.10171931453755703
rh,gm,v2,euler,2,1,0.10349707435093948
lh,wm,v2,euler,2,1,0.044374523738575776
rh,wm,v2,euler,2,1,0.044876924158447296
lh,gm,v2,euler,3,1,0.10477507861776694
rh,gm,v2,euler,3,1,0.10143377836231657
lh,wm,v2,euler,3,1,0.04435885559109136
rh,wm,v2,euler,3,1,0.04448567289790813
lh,gm,v2,euler,4,1,0.1108619860666483
rh,gm,v2,euler,4,1,0.10360132138634197
lh,wm,v2,euler,4,1,0.04404901514574484
rh,wm,v2,euler,4,1,0.04461649593301037
lh,gm,v2,euler,2,10,0.0573611182360388
rh,gm,v2,euler,2,10,0.051876713267370964
lh,wm,v2,euler,2,10,0.03825233604935608
rh,wm,v2,euler,2,10,0.039641147442784255
lh,gm,v2,euler,3,10,0.053947347372866654
rh,gm,v2,euler,3,10,0.050934095333073415
lh,wm,v2,euler,3,10,0.03847196760410764
rh,wm,v2,euler,3,10,0.039199179935104474
lh,gm,v2,euler,4,10,0.05182285374381724
rh,gm,v2,euler,4,10,0.050631925126975244
lh,wm,v2,euler,4,10,0.03859229550941783
rh,wm,v2,euler,4,10,0.03938061145790612
lh,gm,v2,euler,2,20,0.047283537712466
rh,gm,v2,euler,2,20,0.04511859722321066
lh,wm,v2,euler,2,20,0.03736849072899123
rh,wm,v2,euler,2,20,0.03787681854536741
lh,gm,v2,euler,3,20,0.046880972651455646
rh,gm,v2,euler,3,20,0.043724039516809136
lh,wm,v2,euler,3,20,0.03766746804417223
rh,wm,v2,euler,3,20,0.0381960571444481
lh,gm,v2,euler,4,20,0.045908753738080246
rh,gm,v2,euler,4,20,0.045261654028355885
lh,gm,v2,euler,2,30,0.04409137294840485
rh,gm,v2,euler,2,30,0.042494613933678045
lh,wm,v2,euler,4,20,0.03790417200622775
rh,wm,v2,euler,4,20,0.038702481168880254
lh,wm,v2,euler,2,30,0.03678820394270588
rh,wm,v2,euler,2,30,0.037412692359668716
lh,gm,v2,euler,3,30,0.04388433996515734
rh,gm,v2,euler,3,30,0.04099181469114385
lh,gm,v2,euler,2,40,0.04318054304568595
rh,gm,v2,euler,2,40,0.041232592436778036
lh,wm,v2,euler,3,30,0.037043440458766216
rh,wm,v2,euler,3,30,0.03768824435296822
lh,gm,v2,euler,4,30,0.04571318045079885
rh,gm,v2,euler,4,30,0.040744294955371074
lh,wm,v2,euler,2,40,0.03646545714030348
rh,wm,v2,euler,2,40,0.03696366861574994
lh,wm,v2,euler,4,30,0.03736799276496107
rh,wm,v2,euler,4,30,0.03838750013403177
lh,gm,v2,euler,3,40,0.042100456806204826
rh,gm,v2,euler,3,40,0.03886317759240448
lh,gm,v2,euler,2,50,0.04129342477395328
rh,gm,v2,euler,2,50,0.03924344290963149
lh,wm,v2,euler,3,40,0.03713514537405994
rh,wm,v2,euler,3,40,0.037900240856507825
lh,wm,v2,euler,2,50,0.036236393372809254
lh,gm,v2,euler,4,40,0.04151517714490183
rh,wm,v2,euler,2,50,0.036643099959072625
rh,gm,v2,euler,4,40,0.042847545046242885
lh,gm,v2,euler,2,60,0.03997618590927169
rh,gm,v2,euler,2,60,0.03778370717492212
lh,gm,v2,euler,3,50,0.039961667613985404
rh,gm,v2,euler,3,50,0.038231713288355264
lh,wm,v2,euler,4,40,0.03719817348234034
rh,wm,v2,euler,4,40,0.03770994094495485
lh,wm,v2,euler,3,50,0.03657290804328333
rh,wm,v2,euler,3,50,0.037095909709901675
lh,wm,v2,euler,2,60,0.03602543915019788
