hemisphere,surf_type,model_type,solver,gnn_layers,epochs,validation_error
lh,gm,baseline,euler,NA,0,0.14471373789751069
lh,gm,baseline,euler,NA,20,0.05094348972338123
lh,gm,baseline,euler,NA,40,0.04589844358069341
lh,gm,baseline,euler,NA,60,0.044591374058529316
lh,gm,baseline,euler,NA,80,0.04176230724059961
lh,gm,baseline,euler,NA,100,0.04476414286382978
lh,gm,baseline,euler,NA,120,0.04016378769502525
lh,gm,baseline,euler,NA,140,0.04047852197455258
lh,gm,baseline,euler,NA,160,0.0396779154282834
lh,gm,baseline,euler,NA,180,0.03962564156169939
lh,gm,baseline,euler,NA,200,0.038969855550335365
lh,gm,baseline,euler,NA,220,0.03831196013850096
lh,gm,baseline,euler,NA,240,0.03818560388277421
lh,gm,baseline,euler,NA,260,0.0378054639503685
lh,gm,baseline,euler,NA,280,0.038485824226317446
lh,gm,baseline,euler,NA,300,0.03764056450093229
lh,gm,baseline,euler,NA,320,0.03751819195744686
lh,gm,baseline,euler,NA,340,0.03740200215894408
lh,gm,baseline,euler,NA,360,0.03755852911377462
lh,gm,baseline,euler,NA,380,0.03739634014672102
lh,gm,baseline,euler,NA,400,0.04414030859309072
rh,gm,baseline,euler,NA,0,0.1509704863941618
rh,gm,baseline,euler,NA,20,0.04921510549922522
rh,gm,baseline,euler,NA,40,0.042608564838482035
rh,gm,baseline,euler,NA,60,0.04210047850863013
rh,gm,baseline,euler,NA,80,0.040046553200729
rh,gm,baseline,euler,NA,100,0.03959308735923922
rh,gm,baseline,euler,NA,120,0.04077651691000812
rh,gm,baseline,euler,NA,140,0.037586320731548016
rh,gm,baseline,euler,NA,160,0.03766008947046618
rh,gm,baseline,euler,NA,180,0.037272285571189376
rh,gm,baseline,euler,NA,200,0.036968622476581066
rh,gm,baseline,euler,NA,220,0.03715999766176663
rh,gm,baseline,euler,NA,240,0.0368195459768999
rh,gm,baseline,euler,NA,260,0.03532239488463504
rh,gm,baseline,euler,NA,280,0.03506307696405766
rh,gm,baseline,euler,NA,300,0.034657139935759536
rh,gm,baseline,euler,NA,320,0.035179153389341584
rh,gm,baseline,euler,NA,340,0.03449402375453842
rh,gm,baseline,euler,NA,360,0.034473150913856505
rh,gm,baseline,euler,NA,380,0.03548775080632587
rh,gm,baseline,euler,NA,400,0.0347841541324983
lh,wm,baseline,euler,NA,0,0.05035023373081991
lh,wm,baseline,euler,NA,20,0.037700376008709506
lh,wm,baseline,euler,NA,40,0.03684627254501563
lh,wm,baseline,euler,NA,60,0.036312110625721254
lh,wm,baseline,euler,NA,80,0.03659948862181848
lh,wm,baseline,euler,NA,100,0.0356093388635882
lh,wm,baseline,euler,NA,120,0.035538521152720305
lh,wm,baseline,euler,NA,140,0.03646321206831309
lh,wm,baseline,euler,NA,160,0.03533990726784145
lh,wm,baseline,euler,NA,180,0.035342052859928585
lh,wm,baseline,euler,NA,200,0.03501459961061583
lh,wm,baseline,euler,NA,220,0.03507572822353064
lh,wm,baseline,euler,NA,240,0.03526167165546212
lh,wm,baseline,euler,NA,260,0.03518219894211707
lh,wm,baseline,euler,NA,280,0.03485097956932993
lh,wm,baseline,euler,NA,300,0.03479796772620015
lh,wm,baseline,euler,NA,320,0.03485545547501433
lh,wm,baseline,euler,NA,340,0.034806976929820814
lh,wm,baseline,euler,NA,360,0.03572661876989577
lh,wm,baseline,euler,NA,380,0.034959590360311515
lh,wm,baseline,euler,NA,400,0.03517111191944548
rh,wm,baseline,euler,NA,0,0.04986990379934311
rh,wm,baseline,euler,NA,20,0.03837922053333324
rh,wm,baseline,euler,NA,40,0.037426777798200736
rh,wm,baseline,euler,NA,60,0.03716086061542918
rh,wm,baseline,euler,NA,80,0.03674221286552171
rh,wm,baseline,euler,NA,100,0.03664265857188529
rh,wm,baseline,euler,NA,120,0.036232415807497656
rh,wm,baseline,euler,NA,140,0.03608888625327883
rh,wm,baseline,euler,NA,160,0.03596327010670613
rh,wm,baseline,euler,NA,180,0.03591358086725512
rh,wm,baseline,euler,NA,200,0.036324739179188575
rh,wm,baseline,euler,NA,220,0.03574909426568975
rh,wm,baseline,euler,NA,240,0.03654797709996587
rh,wm,baseline,euler,NA,260,0.035674540632843955
rh,wm,baseline,euler,NA,280,0.03563968264894231
rh,wm,baseline,euler,NA,300,0.03564718409851876
rh,wm,baseline,euler,NA,320,0.03572241436406079
rh,wm,baseline,euler,NA,340,0.03531496255665592
rh,wm,baseline,euler,NA,360,0.035447900794177506
rh,wm,baseline,euler,NA,380,0.035497623026332865
rh,wm,baseline,euler,NA,400,0.0355598186019804
