Framework,Subject ID,Hemisphere,Metric,Label,Score,Total Triangles
FastSurfer,208428,LH,Dice,-1.0,0.9721772015126958,
FastSurfer,208428,LH,Dice,2.0,0.8685446009389671,
FastSurfer,208428,LH,Dice,3.0,0.8333333333333334,
FastSurfer,208428,LH,Dice,5.0,0.8761699064074874,
FastSurfer,208428,LH,Dice,6.0,0.85662100456621,
FastSurfer,208428,LH,Dice,7.0,0.8061224489795918,
FastSurfer,208428,LH,Dice,8.0,0.8696945656485522,
FastSurfer,208428,LH,Dice,9.0,0.831817630653571,
FastSurfer,208428,LH,Dice,10.0,0.8265845070422535,
FastSurfer,208428,LH,Dice,11.0,0.9041821069348862,
FastSurfer,208428,LH,Dice,12.0,0.8921536971262513,
FastSurfer,208428,LH,Dice,13.0,0.869471671049486,
FastSurfer,208428,LH,Dice,14.0,0.8693877551020408,
FastSurfer,208428,LH,Dice,15.0,0.8239958268127282,
FastSurfer,208428,LH,Dice,16.0,0.8714666666666666,
FastSurfer,208428,LH,Dice,17.0,0.8441247002398081,
FastSurfer,208428,LH,Dice,18.0,0.7873684210526316,
FastSurfer,208428,LH,Dice,19.0,0.8578284343131374,
FastSurfer,208428,LH,Dice,20.0,0.8902536715620828,
FastSurfer,208428,LH,Dice,21.0,0.8790718429272646,
FastSurfer,208428,LH,Dice,22.0,0.8257721565392723,
FastSurfer,208428,LH,Dice,23.0,0.8301260783012607,
FastSurfer,208428,LH,Dice,24.0,0.8511139002196423,
FastSurfer,208428,LH,Dice,25.0,0.8761860680398056,
FastSurfer,208428,LH,Dice,26.0,0.8469429626590069,
FastSurfer,208428,LH,Dice,27.0,0.8781848142983901,
FastSurfer,208428,LH,Dice,28.0,0.9097614125272392,
FastSurfer,208428,LH,Dice,29.0,0.8444533762057878,
FastSurfer,208428,LH,Dice,30.0,0.8558930741190766,
FastSurfer,208428,LH,Dice,31.0,0.8748501558379286,
FastSurfer,208428,LH,Dice,34.0,0.7438180019782393,
FastSurfer,208428,LH,Dice,35.0,0.7834664161578205,
FastSurfer,208428,RH,Dice,-1.0,0.9671825830068718,
FastSurfer,208428,RH,Dice,2.0,0.8706038487060385,
FastSurfer,208428,RH,Dice,3.0,0.8541666666666666,
FastSurfer,208428,RH,Dice,5.0,0.6984972417728743,
FastSurfer,208428,RH,Dice,6.0,0.7664768104149715,
FastSurfer,208428,RH,Dice,7.0,0.7958579881656804,
FastSurfer,208428,RH,Dice,8.0,0.8287897204375759,
FastSurfer,208428,RH,Dice,9.0,0.818676862472483,
FastSurfer,208428,RH,Dice,10.0,0.8538613861386138,
FastSurfer,208428,RH,Dice,11.0,0.81714619541405,
FastSurfer,208428,RH,Dice,12.0,0.8897081413210446,
FastSurfer,208428,RH,Dice,13.0,0.8647569852077952,
FastSurfer,208428,RH,Dice,14.0,0.8324727481353987,
FastSurfer,208428,RH,Dice,15.0,0.8205776524360595,
FastSurfer,208428,RH,Dice,16.0,0.8360655737704918,
FastSurfer,208428,RH,Dice,17.0,0.8801184015786877,
FastSurfer,208428,RH,Dice,18.0,0.7323433538572981,
FastSurfer,208428,RH,Dice,19.0,0.8405333333333334,
FastSurfer,208428,RH,Dice,20.0,0.8150365934797072,
FastSurfer,208428,RH,Dice,21.0,0.8853061224489795,
FastSurfer,208428,RH,Dice,22.0,0.8081900714699632,
FastSurfer,208428,RH,Dice,23.0,0.8496124031007752,
FastSurfer,208428,RH,Dice,24.0,0.8617594254937163,
FastSurfer,208428,RH,Dice,25.0,0.86960065199674,
FastSurfer,208428,RH,Dice,26.0,0.814968814968815,
FastSurfer,208428,RH,Dice,27.0,0.8765120967741935,
FastSurfer,208428,RH,Dice,28.0,0.9230411748303746,
FastSurfer,208428,RH,Dice,29.0,0.785333578386326,
FastSurfer,208428,RH,Dice,30.0,0.8492955234528268,
FastSurfer,208428,RH,Dice,31.0,0.8271637122002086,
FastSurfer,208428,RH,Dice,34.0,0.7030456852791879,
FastSurfer,208428,RH,Dice,35.0,0.8045045045045045,
FastSurfer,208428,LH,Chamfer Distance,,1.01785993312182,
FastSurfer,208428,LH,Hausdorff Distance,,6.192592981826943,
