Framework,Subject ID,surf_type,Hemisphere,Metric,Label,Score,Total Triangles
cortexode,208428,pial,lh,Chamfer Distance,,0.8937059061602359,
cortexode,208428,pial,lh,Hausdorff Distance,,4.840317268811561,
cortexode,208428,pial,lh,Self-Intersections (SIF),,1823,178880
cortexode,205725,pial,lh,Chamfer Distance,,0.8790302797944092,
cortexode,205725,pial,lh,Hausdorff Distance,,5.131610906292283,
cortexode,205725,pial,lh,Self-Intersections (SIF),,987,188859
cortexode,204420,pial,lh,Chamfer Distance,,0.8808798823364778,
cortexode,204420,pial,lh,Hausdorff Distance,,4.35616490198783,
cortexode,204420,pial,lh,Self-Intersections (SIF),,1078,195062
cortexode,208024,pial,lh,Chamfer Distance,,0.8831196045684256,
cortexode,208024,pial,lh,Hausdorff Distance,,4.805399130065323,
cortexode,208024,pial,lh,Self-Intersections (SIF),,2451,198832
cortexode,210415,pial,lh,Chamfer Distance,,0.9261101662072486,
cortexode,210415,pial,lh,Hausdorff Distance,,5.769899031998611,
cortexode,210415,pial,lh,Self-Intersections (SIF),,3333,199853
cortexode,224022,pial,lh,Chamfer Distance,,0.9269011987488625,
cortexode,224022,pial,lh,Hausdorff Distance,,6.070246851678621,
cortexode,224022,pial,lh,Self-Intersections (SIF),,1241,194206
cortexode,201818,pial,lh,Chamfer Distance,,0.87457840314741,
cortexode,201818,pial,lh,Hausdorff Distance,,5.526456990340197,
cortexode,201818,pial,lh,Self-Intersections (SIF),,2345,205018
cortexode,204521,pial,lh,Chamfer Distance,,0.9023964242777957,
cortexode,204521,pial,lh,Hausdorff Distance,,6.545135025856503,
cortexode,204521,pial,lh,Self-Intersections (SIF),,2004,199961
cortexode,211316,pial,lh,Chamfer Distance,,0.9017617921872069,
cortexode,211316,pial,lh,Hausdorff Distance,,5.908456885989951,
cortexode,211316,pial,lh,Self-Intersections (SIF),,1118,201629
cortexode,209834,pial,lh,Chamfer Distance,,0.9289858819682237,
cortexode,209834,pial,lh,Hausdorff Distance,,6.010947166007009,
cortexode,209834,pial,lh,Self-Intersections (SIF),,2000,204556
cortexode,209329,pial,lh,Chamfer Distance,,0.905486886420463,
cortexode,209329,pial,lh,Hausdorff Distance,,4.7565351754916865,
cortexode,209329,pial,lh,Self-Intersections (SIF),,2878,205858
cortexode,255639,pial,lh,Chamfer Distance,,0.9037516956549723,
cortexode,255639,pial,lh,Hausdorff Distance,,6.457374883291774,
cortexode,255639,pial,lh,Self-Intersections (SIF),,1036,202291
cortexode,221319,pial,lh,Chamfer Distance,,0.8742519198754105,
cortexode,221319,pial,lh,Hausdorff Distance,,5.006501435036039,
cortexode,221319,pial,lh,Self-Intersections (SIF),,748,206096
cortexode,212318,pial,lh,Chamfer Distance,,0.8570654832587608,
cortexode,212318,pial,lh,Hausdorff Distance,,5.35630521961263,
cortexode,212318,pial,lh,Self-Intersections (SIF),,440,209595
cortexode,201414,pial,lh,Chamfer Distance,,0.9407472746460452,
cortexode,201414,pial,lh,Hausdorff Distance,,7.3341532331124695,
cortexode,201414,pial,lh,Self-Intersections (SIF),,1030,215338
