Framework,Subject ID,surf_type,Hemisphere,Metric,Label,Score,Total Triangles
csrf,208428,pial,lh,Chamfer Distance,,0.8873008352376348,
csrf,208428,pial,lh,Hausdorff Distance,,4.720391157059631,
csrf,208428,pial,lh,Self-Intersections (SIF),,-1,178937
csrf,221319,pial,lh,Chamfer Distance,,0.8854684040956156,
csrf,221319,pial,lh,Hausdorff Distance,,5.022292561275284,
csrf,221319,pial,lh,Self-Intersections (SIF),,-1,206128
csrf,212318,pial,lh,Chamfer Distance,,0.8593691656238132,
csrf,212318,pial,lh,Hausdorff Distance,,5.404544737544553,
csrf,212318,pial,lh,Self-Intersections (SIF),,-1,209712
csrf,208024,pial,lh,Chamfer Distance,,0.8742616362320317,
csrf,205725,pial,lh,Chamfer Distance,,0.8793728757592492,
csrf,205725,pial,lh,Hausdorff Distance,,5.278419221077805,
csrf,224022,pial,lh,Chamfer Distance,,0.911103833903602,
csrf,208024,pial,lh,Hausdorff Distance,,4.410926597504391,
csrf,204420,pial,lh,Chamfer Distance,,0.8734550183836383,
csrf,205725,pial,lh,Self-Intersections (SIF),,-1,188983
csrf,224022,pial,lh,Hausdorff Distance,,6.199456942808957,
csrf,208024,pial,lh,Self-Intersections (SIF),,-1,198929
csrf,204420,pial,lh,Hausdorff Distance,,4.162603862547548,
csrf,224022,pial,lh,Self-Intersections (SIF),,-1,194272
csrf,204420,pial,lh,Self-Intersections (SIF),,-1,195167
csrf,237334,pial,lh,Chamfer Distance,,0.8539414702998884,
csrf,211316,pial,lh,Chamfer Distance,,0.8976788160542413,
csrf,237334,pial,lh,Hausdorff Distance,,5.295334625670465,
csrf,211316,pial,lh,Hausdorff Distance,,5.586901601100939,
csrf,237334,pial,lh,Self-Intersections (SIF),,-1,215719
csrf,211316,pial,lh,Self-Intersections (SIF),,-1,201693
csrf,204521,pial,lh,Chamfer Distance,,0.8941611809362162,
csrf,209834,pial,lh,Chamfer Distance,,0.9236143110353074,
csrf,204521,pial,lh,Hausdorff Distance,,6.935894246075288,
csrf,209834,pial,lh,Hausdorff Distance,,5.970591317230045,
csrf,204521,pial,lh,Self-Intersections (SIF),,-1,200046
csrf,210415,pial,lh,Chamfer Distance,,0.9147559460517447,
