Vertex Mapping,Training Input Surface,Testing Input Surface,framework,gnn_layers,surf_hemi,surf_type,average_dice_score,stdev_dice,count
assymmetric,CortexODE,FreeSurfer,CSRVC (ours),10,left,pial,0.9188043315616632,0.0130630762000749,99
assymmetric,CortexODE,FreeSurfer,CSRVC (ours),12,right,pial,0.9153768290713424,0.0199588318637391,99
assymmetric,CortexODE,CSRF (ours),CSRVC (ours),10,left,pial,0.8799246678859418,0.015271668411191,99
assymmetric,CortexODE,CSRF (ours),CSRVC (ours),12,right,pial,0.879282788680484,0.0199563301723446,99
assymmetric,CortexODE,CortexODE,CSRVC (ours),10,left,pial,0.8767828771594778,0.0153167495509701,99
assymmetric,CortexODE,CortexODE,CSRVC (ours),12,right,pial,0.8736281979312626,0.0203551807452597,99
symmetric,FreeSurfer,FreeSurfer,CSRVC (ours),12,left,pial,0.9204749035815584,0.0128503665799898,99
symmetric,FreeSurfer,FreeSurfer,CSRVC (ours),12,right,pial,0.918495111085502,0.0189090614277453,99
symmetric,FreeSurfer,CSRF (ours),CSRVC (ours),12,left,pial,0.8783446274015849,0.0150787979481322,99
symmetric,FreeSurfer,CSRF (ours),CSRVC (ours),12,right,pial,0.8786651721120845,0.0190288846092032,99
symmetric,FreeSurfer,CortexODE,CSRVC (ours),12,left,pial,0.8747090787514176,0.015049308552442,99
symmetric,FreeSurfer,CortexODE,CSRVC (ours),12,right,pial,0.8731742250427978,0.0193063841908204,99
-,-,-,FastSurfer,-,left,pial,0.8544752539253484,0.0567300790516926,99
-,-,-,FastSurfer,-,right,pial,0.8494120184478882,0.0610091137387972,99
