Framework,Hemisphere,surf_type,mean_Chamfer Distance,mean_Hausdorff Distance,mean_Self-Intersections (SIF),std_Chamfer Distance,std_Hausdorff Distance,std_Self-Intersections (SIF)
CortexODE,left,pial,0.8835361593018394,5.663095370460155,1667.2424242424242,0.03037636040947007,1.2856007459339314,954.8179021913464
CortexODE,left,white,0.7604575800868303,5.212655981187685,0.43434343434343436,0.014172823945199102,1.4985872542650345,1.7909159448912266
CortexODE,right,pial,0.9005874997878079,5.83809358045081,1897.6565656565656,0.03468339695760907,1.1350199391298421,1032.5007008113068
CortexODE,right,white,0.7604293439932867,4.853983370120195,1.5757575757575757,0.011823192533816857,1.266583414425781,4.0155079712486454
CSRF (ours),left,pial,0.8832371272467343,5.741993565920253,5486.515151515152,0.02523113323857086,1.3645146042333178,2127.17807398477
CSRF (ours),left,white,0.7599794833894321,5.180079016772969,28.353535353535353,0.014261488294112107,1.481988301965549,81.92446908789171
CSRF (ours),right,pial,0.8935482484877744,6.008696091944855,5164.030303030303,0.026561428992790938,1.1432708789062693,1774.2127282811396
CSRF (ours),right,white,0.7602868692574194,4.823817889615988,44.313131313131315,0.011989001137430491,1.221603923470999,84.56125016750136
FastSurfer,left,pial,1.02060281224239,6.46608878891691,0.616161616161616,0.0283965111223102,1.11009136477295,5.63463609224066
FastSurfer,left,white,0.834397080626745,5.38220804513697,0.515151515151515,0.0255795668433865,0.968170569082749,5.12569285782198
FastSurfer,right,pial,1.0165295668122,7.10096427436256,0.353535353535353,0.0271243374611246,1.04499719989502,2.06186527060949
FastSurfer,right,white,0.831987008824179,5.4057399726549,0,0.0244899719865026,1.27203109239477,0
